Jugadores,Nac.,Edad,Club,Contrato,Valor de mercado,Posición,Agencia
Josué Reinatti,Argentina,21,CA Newell's Old Boys,2026,-,Portero,Vibra Fútbol
Matías Dituro,"Argentina, Chile",37,Elche CF,2025,300 mil €,Portero,Vibra Fútbol
Sergio Santos,Brasil,30,FC Cincinnati,2024,"1,50 mill. €",Delantero centro,Vibra Fútbol
Cristián Gutiérrez,"Canadá, Chile",27,Universidad de Concepción,-,350 mil €,Lateral izquierdo,Vibra Fútbol
Diego Gutiérrez,"Canadá, Chile",27,Cavalry FC,2025,175 mil €,Mediocentro,Vibra Fútbol
Arturo Vidal,Chile,37,CSD Colo-Colo,2024,300 mil €,Mediocentro,Vibra Fútbol
Gary Medel,"Chile, España",37,CA Boca Juniors,2025,400 mil €,Defensa central,Vibra Fútbol
Eugenio Mena,Chile,36,CD Universidad Católica,2024,250 mil €,Lateral izquierdo,Vibra Fútbol
Cristopher Toselli,"Chile, Italia",36,Universidad de Chile,-,100 mil €,Portero,Vibra Fútbol
Alexis Sánchez,Chile,35,Udinese,2026,"2,50 mill. €",Delantero centro,Vibra Fútbol
Charles Aránguiz,Chile,35,Universidad de Chile,2025,"1,60 mill. €",Mediocentro,Vibra Fútbol
Eduardo Vargas,Chile,34,Clube Atlético Mineiro,2024,"1,00 mill. €",Delantero centro,Vibra Fútbol
Leonardo Valencia,Chile,33,CD Cobresal,-,350 mil €,Mediocentro ofensivo,Vibra Fútbol
Enzo Roco,Chile,32,Al-Riyadh SC,-,"1,00 mill. €",Defensa central,Vibra Fútbol
Claudio Sepúlveda,Chile,32,CD Huachipato,-,450 mil €,Pivote,Vibra Fútbol
Valber Huerta,Chile,31,CD Universidad Católica,2026,"1,50 mill. €",Defensa central,Vibra Fútbol
Gabriel Castellón,Chile,31,Universidad de Chile,2027,800 mil €,Portero,Vibra Fútbol
Branco Ampuero,Chile,31,CD Universidad Católica,2025,600 mil €,Defensa central,Vibra Fútbol
César Fuentes,Chile,31,CSD Colo-Colo,2024,300 mil €,Pivote,Vibra Fútbol
Diego Rubio,"Chile, Alemania",31,Austin FC,2024,"1,20 mill. €",Delantero centro,Vibra Fútbol
Erick Pulgar,Chile,30,CR Flamengo,2025,"5,00 mill. €",Pivote,Vibra Fútbol
Claudio Baeza,Chile,30,Deportivo Toluca FC,2025,"3,50 mill. €",Pivote,Vibra Fútbol
Pablo Parra,Chile,30,Unión La Calera,-,300 mil €,Mediocentro ofensivo,Vibra Fútbol
Brayan Cortés,Chile,29,CSD Colo-Colo,2024,"3,00 mill. €",Portero,Vibra Fútbol
Israel Poblete,Chile,29,Universidad de Chile,2025,900 mil €,Mediocentro,Vibra Fútbol
Cristian Cuevas,Chile,29,CD Universidad Católica,2024,750 mil €,Extremo izquierdo,Vibra Fútbol
Matías Fernández,Chile,29,Independiente del Valle,-,600 mil €,Interior derecho,Vibra Fútbol
Luis Pavez Muñoz,Chile,29,Unión Española,2024,600 mil €,Lateral izquierdo,Vibra Fútbol
Nicolás Orellana,Chile,29,Audax Italiano,-,350 mil €,Extremo izquierdo,Vibra Fútbol
Marcos Bolados,Chile,28,CSD Colo-Colo,2024,750 mil €,Extremo derecho,Vibra Fútbol
Yerko Águila,Chile,28,CD Cobreloa,2024,300 mil €,Lateral izquierdo,Vibra Fútbol
Benjamín Kuscevic,"Chile, Croacia",28,Fortaleza Esporte Clube,2024,"1,00 mill. €",Defensa central,Vibra Fútbol
