Player;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK
Juan Cornejo;cl CHI;DF;Coquimbo Unido;Primera Division Chile;32;1990;29;29;2609;290;0;7;7;0;0;0;7;0;0;24;24;0;24
Gabriel Castellón;cl CHI;GK;Huachipato;Primera Division Chile;29;1993;29;29;2585;287;0;0;0;0;0;0;3;1;0;0;0;0;0
Rafael Caroca;cl CHI;DF,MF;Ñublense;Primera Division Chile;33;1989;29;29;2585;287;1;0;1;1;0;0;6;0;3;0;3;3;3
Álvaro Madrid;cl CHI;MF;Everton;Primera Division Chile;27;1995;30;30;2573;286;3;3;6;3;0;0;5;0;10;10;21;10;21
Alejandro Camargo;ar ARG;MF;Cobresal;Primera Division Chile;33;1989;29;29;2564;285;5;2;7;5;0;0;5;0;18;7;25;18;25
Diego Oyarzún;cl CHI;DF;Everton;Primera Division Chile;30;1993;29;29;2555;284;1;1;2;1;0;0;5;0;4;4;7;4;7
Leandro Garate;ar ARG;FW;Unión Española;Primera Division Chile;29;1993;30;30;2552;284;14;8;22;11;3;3;6;0;49;28;78;39;67
Fabián Hormazábal;cl CHI;DF,MF;O'Higgins;Primera Division Chile;26;1996;30;28;2513;279;1;2;3;1;0;0;4;0;4;7;11;4;11
Marcelo Jorquera;cl CHI;DF;Cobresal;Primera Division Chile;30;1992;28;28;2506;278;0;1;1;0;0;0;6;0;0;4;4;0;4
Ignacio Saavedra;cl CHI;MF;Univ Católica;Primera Division Chile;24;1999;28;28;2489;277;0;0;0;0;0;0;7;1;0;0;0;0;0
Benjamín Berríos;cl CHI;MF;Everton;Primera Division Chile;24;1998;28;28;2481;276;0;5;5;0;0;0;6;1;0;18;18;0;18
Alexander Aravena;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;28;27;2443;271;13;4;17;13;0;0;4;1;48;15;63;48;63
Tomás Astaburuaga;cl CHI;DF;La Calera;Primera Division Chile;26;1996;28;27;2409;268;1;1;2;1;0;0;6;0;4;4;7;4;7
Fernando Zampedri;ar ARG;FW;Univ Católica;Primera Division Chile;34;1988;28;27;2395;266;17;2;19;12;5;7;9;0;64;8;71;45;53
César Rigamonti;ar ARG;GK;Palestino;Primera Division Chile;35;1987;27;27;2384;265;0;0;0;0;0;0;3;1;0;0;0;0;0
Juan Jaime;ar ARG;MF;Deportes Copiapó;Primera Division Chile;30;1993;27;27;2375;264;2;0;2;2;0;0;10;0;8;0;8;8;8
Rodrigo Holgado;ar ARG;FW;Coquimbo Unido;Primera Division Chile;27;1995;27;27;2359;262;16;3;19;12;4;4;4;0;61;11;72;46;57
Agustín Farías;ar ARG;MF;Palestino;Primera Division Chile;35;1987;27;27;2346;261;2;1;3;1;1;1;8;0;8;4;12;4;8
Cris Martínez;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;28;28;2339;260;12;6;18;10;2;2;7;1;46;23;69;38;62
Sebastián Galani;cl CHI;MF;Coquimbo Unido;Primera Division Chile;25;1997;29;29;2334;259;0;0;0;0;0;0;4;0;0;0;0;0;0
Francisco Alarcón;cl CHI;DF;Cobresal;Primera Division Chile;32;1990;26;26;2295;255;1;0;1;1;0;0;7;0;4;0;4;4;4
Nicolás Ramírez Aguilera;cl CHI;DF;Huachipato;Primera Division Chile;25;1997;28;26;2287;254;0;1;1;0;0;0;2;0;0;4;4;0;4
Dylan Glaby;ar ARG;MF;Coquimbo Unido;Primera Division Chile;26;1996;26;25;2269;252;1;1;2;1;0;0;10;1;4;4;8;4;8
Dylan Escobar;cl CHI;DF;Coquimbo Unido;Primera Division Chile;22;2000;27;25;2242;249;0;1;1;0;0;0;3;0;0;4;4;0;4
Claudio Sepúlveda;cl CHI;MF,DF;Huachipato;Primera Division Chile;30;1992;26;26;2237;249;0;1;1;0;0;0;7;2;0;4;4;0;4
Misael Dávila;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;27;24;2215;246;10;3;13;10;0;0;4;1;41;12;53;41;53
Fabián Cerda;cl CHI;GK;Curico Unido;Primera Division Chile;33;1989;25;25;2201;245;0;0;0;0;0;0;4;0;0;0;0;0;0
Gonzalo Sosa;ar ARG;FW;Audax Italiano;Primera Division Chile;34;1989;26;25;2199;244;10;3;13;6;4;5;6;1;41;12;53;25;37
Maximiliano Salas;ar ARG;FW;Palestino;Primera Division Chile;25;1997;25;25;2191;243;8;2;10;8;0;1;6;0;33;8;41;33;41
Benjamín Gazzolo;cl CHI;DF;Huachipato;Primera Division Chile;25;1997;28;24;2183;243;1;0;1;1;0;0;4;0;4;0;4;4;4
