Jugadores;Nac.;Edad;Club;Liga;Contrato;Valor de mercado;Posición;Agencia;;;Nac.;(Todas)
Christopher González;Chile;25;Unión Compañías;;-;-;Midfield;Agencia Wfutbol;;;;
Jaime Droguett;Chile;36;Club Deportes Rengo;;2024;-;Right Winger;Agencia Wfutbol;;;Etiquetas de fila;Cuenta de Jugadores
Hans Salinas;Chile;34;Club Deportes Iquique; ;-;€125k;Left-Back;AIM fútbol;;;Agencia Wfutbol;2
Marcelo Díaz;Chile;37;Club Universidad de Chile; ;2024;€50k;Defensive Midfield;AIM fútbol;;;AIM fútbol;42
Pedro Garrido;Chile;20;Club Universidad de Chile; ;2024;€50k;Goalkeeper;AIM fútbol;;;Alan Silbermann;1
Luciano Parra;Chile;21;CD Cobreloa; ;-;-;Centre-Forward;AIM fútbol;;;Altius Gerenciamiento Deportivo;11
Ángelo Araos;Chile;27;Atlético Clube Goianiense; ;2025;€700k;Attacking Midfield;AIM fútbol;;;Andes Sport Management;22
Bryan Rabello;Chile/Spain;30;CD O'Higgins; ;2024;€600k;Attacking Midfield;AIM fútbol;;;FA Sports SPA;1
Bryan Carvallo;Chile;28;Club Deportes Iquique; ;2024;€400k;Attacking Midfield;AIM fútbol;;;Factor Futbol;2
Joan Cruz;Chile;21;CD Everton; ;2024;€350k;Attacking Midfield;AIM fútbol;;;FS Fútbol Sport;4
Williams Alarcón;Chile;23;CA Huracán; ;2026;€6.00m;Central Midfield;AIM fútbol;;;Full Soccer;4
Benjamín Berríos;Chile;26;CD Everton; ;2025;€1.00m;Central Midfield;AIM fútbol;;;Futbol & Business Hub;5
Matías Marín;Chile;24;Club Atlético Belgrano; ;2026;€1.00m;Central Midfield;AIM fútbol;;;Global Agents;1
Yerko Leiva;Chile;26;CD O'Higgins; ;2024;€500k;Central Midfield;AIM fútbol;;;Hattrick CL;1
Igor Lichnovsky;Chile/Austria;30;CF América;1.Liga (Mexico);2027;€2.50m;Centre-Back;AIM fútbol;;;Ikons by Solo Cracks;13
Daniel Gutiérrez;Chile;21;CSD Colo-Colo; ;2026;€700k;Centre-Back;AIM fútbol;;;Mas Que Futbol CL;3
Bastián Tapia;Chile;22;CD Cobreloa; ;2024;€400k;Centre-Back;AIM fútbol;;;Mauricio Méndez;11
Víctor Dávila;Chile;26;CF América;1.Liga (Mexico);2027;€5.00m;Centre-Forward;AIM fútbol;;;MMK Soccer;6
Esteban Calderón;Chile;20;CD O'Higgins; ;-;€450k;Centre-Forward;AIM fútbol;;;Mundo Futuro Chile;43
Víctor Méndez;Chile;25;Krylya Sovetov Samara;1.Liga (Russia);2025;€3.50m;Defensive Midfield;AIM fútbol;;;Next Level Sports Management;3
Lautaro Pastrán;Chile/Argentina;22;CD Everton; ;2024;€800k;Left Winger;AIM fútbol;;;Nueva Futbol Chile SPA;5
Alex Ibacache;Chile;25;CD Everton; ;2025;€500k;Left-Back;AIM fútbol;;;Pass Ball;9
Juan Delgado;Chile;31;CD Everton; ;2025;€400k;Right Winger;AIM fútbol;;;ProSports Chile;3
Renato Huerta;Chile/Spain;20;Unión La Calera; ;2024;€375k;Right Winger;AIM fútbol;;;RC Sport Management;8
Benjamín Rojas;Chile;23;CD Palestino; ;2024;€700k;Right-Back;AIM fútbol;;;RSMTM;8
Simón Ramírez;Chile;25;Unión Española; ;2024;€600k;Right-Back;AIM fútbol;;;Talento Deportivo;40
