Agencias ;Cuenta de Jugadores;Suma de Min Jugados
Agencia Wfutbol;2;0
AIM fútbol;42;18564
Alan Silbermann;1;0
Altius Gerenciamiento Deportivo;11;285
Andes Sport Management;22;5171
FA Sports SPA;1;0
Factor Futbol;2;135
FS Fútbol Sport;4;0
Full Soccer;4;0
Futbol & Business Hub;5;48
Global Agents;1;403
Hattrick CL;1;0
Ikons by Solo Cracks;13;3960
Mas Que Futbol CL;3;0
Mauricio Méndez;11;766
MMK Soccer;6;0
Mundo Futuro Chile;43;30809
Next Level Sports Management;3;632
Nueva Futbol Chile SPA;5;0
Pass Ball;9;1545
ProSports Chile;3;3652
RC Sport Management;8;1203
RSMTM;8;2892
Talento Deportivo;40;18723
Trading Sports;22;3082
Unosports Limitada;38;20488
Vis10n Futbol;20;450
