Player;stats_Nation;stats_Pos;stats_Squad;stats_Comp;stats_Age;stats_Born;stats_MP;stats_Starts;stats_Min;stats_90s;stats_Gls;stats_Ast;stats_G+A;stats_G-PK;stats_PK;stats_PKatt;stats_CrdY;stats_CrdR;stats_Gls_1;stats_Ast_2;stats_G+A_3;stats_G-PK_4;stats_G+A-PK;shooting_Nation;shooting_Pos;shooting_Squad;shooting_Comp;shooting_Age;shooting_Born;shooting_90s;shooting_Gls;shooting_Sh;shooting_SoT;shooting_SoT%;shooting_Sh/90;shooting_SoT/90;shooting_G/Sh;shooting_G/SoT;shooting_Dist;shooting_PK;shooting_PKatt;passing_Nation;passing_Pos;passing_Squad;passing_Comp;passing_Age;passing_Born;passing_90s;passing_Cmp;passing_Att;passing_Cmp%;passing_TotDist;passing_PrgDist;passing_Cmp_5;passing_Att_6;passing_Cmp%_7;passing_Cmp_8;passing_Att_9;passing_Cmp%_10;passing_Cmp_11;passing_Att_12;passing_Cmp%_13;passing_Ast;passing_A-xAG;passing_KP;passing_1/3;passing_PPA;passing_CrsPA;passing_types_Nation;passing_types_Pos;passing_types_Squad;passing_types_Comp;passing_types_Age;passing_types_Born;passing_types_90s;passing_types_Att;passing_types_Live;passing_types_Dead;passing_types_FK;passing_types_TB;passing_types_Sw;passing_types_Crs;passing_types_TI;passing_types_CK;passing_types_In;passing_types_Out;passing_types_Str;passing_types_Cmp;passing_types_Off;passing_types_Blocks;gca_Nation;gca_Pos;gca_Squad;gca_Comp;gca_Age;gca_Born;gca_90s;gca_SCA;gca_SCA90;gca_PassLive;gca_PassDead;gca_TO;gca_Sh;gca_Fld;gca_Def;gca_GCA;gca_GCA90;gca_PassLive_14;gca_PassDead_15;gca_TO_16;gca_Sh_17;gca_Fld_18;gca_Def_19;defense_Nation;defense_Pos;defense_Squad;defense_Comp;defense_Age;defense_Born;defense_90s;defense_Tkl;defense_TklW;defense_Def 3rd;defense_Mid 3rd;defense_Att 3rd;defense_Tkl_20;defense_Att;defense_Tkl%;defense_Lost;defense_Blocks;defense_Sh;defense_Pass;defense_Int;defense_Tkl+Int;defense_Clr;defense_Err;possession_Nation;possession_Pos;possession_Squad;possession_Comp;possession_Age;possession_Born;possession_90s;possession_Touches;possession_Def Pen;possession_Def 3rd;possession_Mid 3rd;possession_Att 3rd;possession_Att Pen;possession_Live;possession_Att;possession_Succ;possession_Succ%;possession_Tkld;possession_Tkld%;possession_Carries;possession_TotDist;possession_PrgDist;possession_1/3;possession_CPA;possession_Mis;possession_Dis;possession_Rec;playingtime_Nation;playingtime_Pos;playingtime_Squad;playingtime_Comp;playingtime_Age;playingtime_Born;playingtime_MP;playingtime_Min;playingtime_Mn/MP;playingtime_Min%;playingtime_90s;playingtime_Starts;playingtime_Mn/Start;playingtime_Compl;playingtime_Subs;playingtime_Mn/Sub;playingtime_unSub;playingtime_PPM;playingtime_onG;playingtime_onGA;playingtime_+/-;playingtime_+/-90;playingtime_On-Off;misc_Nation;misc_Pos;misc_Squad;misc_Comp;misc_Age;misc_Born;misc_90s;misc_CrdY;misc_CrdR;misc_2CrdY;misc_Fls;misc_Fld;misc_Off;misc_Crs;misc_Int;misc_TklW;misc_PKwon;misc_PKcon;misc_OG
Cris Martínez;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;28;28;2,339;260;12;6;18;10;2;2;7;1;46;23;69;38;62;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;260;12;63;24;381;242;92;16;42;0;2;2;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;260;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;260;0;16;0;0;0;0;0;0;0;0;0;0;6;0;0;0;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;28;2,339;84;866;260;28;84;13;0;0;0;196;42;25;17;65;40;cl CHI;FW;Huachipato;Primera Division Chile;29;1993;260;7;1;1;15;28;7;36;6;16;0;0;0
Patricio Rubio;cl CHI;FW;Ñublense;Primera Division Chile;33;1989;25;22;2,04;227;15;2;17;10;5;5;6;2;66;9;75;44;53;cl CHI;FW;Ñublense;Primera Division Chile;33;1989;227;15;60;28;467;265;124;17;36;0;5;5;cl CHI;FW;Ñublense;Primera Division Chile;33;1989;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;cl CHI;FW;Ñublense;Primera Division Chile;33;1989;227;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;cl CHI;FW;Ñublense;Primera Division Chile;33;1989;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Ñublense;Primera Division Chile;33;1989;227;0;9;0;0;0;0;0;0;0;0;0;0;6;0;0;0;cl CHI;FW;Ñublense;Primera Division Chile;33;1989;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Ñublense;Primera Division Chile;33;1989;25;2,04;82;756;227;22;88;15;3;36;0;112;26;31;-5;-22;-8;cl CHI;FW;Ñublense;Primera Division Chile;33;1989;227;6;2;0;29;32;24;20;6;9;0;0;0
Alexander Aravena;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;28;27;2,443;271;13;4;17;13;0;0;4;1;48;15;63;48;63;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;271;13;61;33;541;225;122;21;39;0;0;0;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;271;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;271;0;11;0;0;0;0;0;0;0;0;0;0;10;0;0;0;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;28;2,443;87;905;271;27;88;21;1;60;0;139;44;42;2;7;-98;cl CHI;MF,FW;Univ Católica;Primera Division Chile;20;2002;271;4;1;1;10;39;9;30;10;11;0;0;0
Jhonatan Candia;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;10;8;617;69;0;1;1;0;0;0;1;0;0;15;15;0;15;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;69;0;13;2;154;190;29;0;0;0;0;0;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;69;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;69;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;10;617;62;229;69;8;72;2;2;20;0;130;9;10;-1;-15;11;uy URU;FW,MF;Audax Italiano;Primera Division Chile;27;1995;69;1;0;0;7;8;0;16;1;4;0;0;0
Misael Dávila;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;27;24;2,215;246;10;3;13;10;0;0;4;1;41;12;53;41;53;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;246;10;46;20;435;187;81;22;50;0;0;0;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;246;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;246;0;15;0;0;0;0;0;0;0;0;0;0;19;0;0;0;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;27;2,215;82;820;246;24;88;20;3;36;0;156;37;32;5;20;2;cl CHI;MF,FW;Palestino;Primera Division Chile;31;1991;246;4;1;0;11;12;5;51;19;15;0;0;0
Leonardo Valencia;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;28;24;1,984;220;6;6;12;5;1;1;6;0;27;27;54;23;50;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;220;6;52;16;308;236;73;10;31;0;1;1;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;220;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;220;0;11;0;0;0;0;0;0;0;0;0;0;11;0;0;0;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;28;1,984;71;735;220;24;78;7;4;30;0;189;39;28;11;50;-26;cl CHI;MF,FW;Cobresal;Primera Division Chile;31;1991;220;6;0;0;17;37;1;103;11;11;0;0;0
Carlos Palacios;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;23;17;1,597;177;7;3;10;4;3;3;3;1;39;17;56;23;39;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;177;7;58;18;310;327;101;7;22;0;3;3;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;177;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;177;0;10;0;0;0;0;0;0;0;0;0;0;6;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;23;1,597;69;591;177;17;82;7;6;35;1;191;31;21;10;56;7;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;22;2000;177;3;1;0;12;29;5;55;6;10;0;0;0
Damián Pizarro;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;22;16;1,503;167;6;4;10;5;1;1;4;0;36;24;60;30;54;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;167;6;33;16;485;198;96;15;31;0;1;1;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;167;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;167;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;22;1,503;68;557;167;16;79;5;6;41;0;191;27;12;15;90;82;cl CHI;FW;Colo-Colo;Primera Division Chile;17;2005;167;4;0;0;26;15;9;9;1;3;0;0;0
Guillermo Pacheco;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;25;24;2,169;241;4;5;9;4;0;0;7;1;17;21;37;17;37;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;241;4;21;9;429;87;37;19;44;0;0;0;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;241;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;241;0;37;0;0;0;0;0;0;0;0;0;0;28;0;0;0;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;25;2,169;87;803;241;24;87;20;1;78;2;196;45;34;11;46;-56;cl CHI;DF;Cobresal;Primera Division Chile;33;1989;241;7;1;1;17;24;1;74;28;37;0;0;0
Marcos Bolados;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;26;15;1,378;153;3;6;9;3;0;0;2;0;20;39;59;20;59;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;153;3;26;9;346;170;59;12;33;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;153;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;153;0;19;0;0;0;0;0;0;0;0;0;0;2;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;26;1,378;53;510;153;15;74;4;11;25;0;169;22;17;5;33;-42;cl CHI;FW,MF;Colo-Colo;Primera Division Chile;26;1996;153;2;0;0;23;34;4;43;2;19;0;0;0
