Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
Ramón Ábila,ar ARG,FW,Colón,Primera Division Argentina,33,1989,25,17,"1,571",17.5,6,3,9,6,0,1,4,0,5.0,4.1,2.5,6.6,19,26,107,0.34,0.17,0.52,0.34,0.52,0.29,0.14,0.43,0.23,0.38,ar ARG,FW,Colón,Primera Division Argentina,33,1989,17.5,6,29,15,51.7,1.66,0.86,0.21,0.40,15.1,0,0,1,5.0,4.1,0.14,+1.0,+1.9,ar ARG,FW,Colón,Primera Division Argentina,33,1989,17.5,213,319,66.8,3248,566,113,156,72.4,80,101,79.2,12,19,63.2,3,2.5,1.8,+0.5,18,10,11,0,26,ar ARG,FW,Colón,Primera Division Argentina,33,1989,17.5,319,283,35,1,5,2,3,0,0,0,0,0,213,1,18,ar ARG,FW,Colón,Primera Division Argentina,33,1989,17.5,48,2.75,31,0,1,6,10,0,8,0.46,5,0,0,3,0,0,ar ARG,FW,Colón,Primera Division Argentina,33,1989,17.5,4,4,0,2,2,2,7,28.6,5,8,3,5,5,9,7,0,ar ARG,FW,Colón,Primera Division Argentina,33,1989,17.5,459,12,16,187,260,84,458,33,12,36.4,16,48.5,289,1077,439,19,13,11,39,18,354,107,ar ARG,FW,Colón,Primera Division Argentina,33,1989,25,"1,571",63,64.7,17.5,17,82,9,8,23,0,0.92,16,22,-6,-0.34,+0.39,16.6,23.8,-7.1,-0.41,+0.03,ar ARG,FW,Colón,Primera Division Argentina,33,1989,17.5,4,0,0,6,22,26,3,5,4,1,0,0,28,12,19,38.7
Gonzalo Abrego,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,26,26,"2,134",23.7,3,1,4,3,0,0,2,0,2.1,2.1,0.8,2.9,24,113,78,0.13,0.04,0.17,0.13,0.17,0.09,0.03,0.12,0.09,0.12,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,23.7,3,30,7,23.3,1.27,0.30,0.10,0.43,23.3,2,0,0,2.1,2.1,0.07,+0.9,+0.9,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,23.7,660,851,77.6,12199,3688,300,365,82.2,257,308,83.4,91,129,70.5,1,0.8,1.1,+0.2,17,87,14,3,113,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,23.7,851,841,7,3,1,18,20,4,0,0,0,0,660,3,21,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,23.7,43,1.82,31,1,7,2,1,1,4,0.17,3,0,0,0,0,1,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,23.7,49,30,16,27,6,24,58,41.4,34,37,6,31,21,70,21,0,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,23.7,1146,28,187,691,286,30,1146,69,37,53.6,32,46.4,622,3086,1238,24,22,4,54,24,698,78,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,26,"2,134",82,87.8,23.7,26,82,15,0,0,0,1.58,32,26,+6,+0.25,+0.56,26.4,30.6,-4.2,-0.18,-0.37,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,23.7,2,0,0,19,10,3,20,21,30,0,0,0,161,35,56,38.5
Jonás Acevedo,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,16,10,849,9.4,0,1,1,0,0,0,3,0,0.7,0.7,1.3,2.0,22,44,48,0.00,0.11,0.11,0.00,0.11,0.08,0.13,0.21,0.08,0.21,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,9.4,0,14,7,50.0,1.48,0.74,0.00,0.00,20.0,1,0,0,0.7,0.7,0.05,-0.7,-0.7,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,9.4,317,448,70.8,5072,1689,177,200,88.5,99,137,72.3,30,76,39.5,1,1.3,1.5,-0.3,19,33,8,4,44,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,9.4,448,363,81,28,0,1,80,4,48,25,21,0,317,4,16,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,9.4,41,4.36,19,18,1,1,2,0,3,0.32,2,0,0,0,1,0,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,9.4,15,8,4,8,3,6,21,28.6,15,12,0,12,5,20,1,0,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,9.4,571,1,38,273,272,20,571,42,15,35.7,23,54.8,312,1987,751,22,20,2,26,17,342,48,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,16,849,53,34.9,9.4,10,75,0,6,17,7,1.25,11,10,+1,+0.11,+0.79,10.3,6.8,+3.5,+0.38,+0.55,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,9.4,3,0,0,15,15,1,80,5,8,0,0,0,47,6,14,30.0
Lucas Acevedo,ar ARG,DF,Colón,Primera Division Argentina,31,1991,6,2,189,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,ar ARG,DF,Colón,Primera Division Argentina,31,1991,2.1,0,2,0,0.0,0.95,0.00,0.00,0,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0,ar ARG,DF,Colón,Primera Division Argentina,31,1991,2.1,57,70,81.4,1074,517,25,29,86.2,27,30,90.0,5,10,50.0,0,0.0,0.0,0.0,0,2,0,0,3,ar ARG,DF,Colón,Primera Division Argentina,31,1991,2.1,70,68,2,0,0,1,0,2,0,0,0,0,57,0,0,ar ARG,DF,Colón,Primera Division Argentina,31,1991,2.1,1,0.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ar ARG,DF,Colón,Primera Division Argentina,31,1991,2.1,4,3,4,0,0,2,4,50.0,2,3,3,0,0,4,23,1,ar ARG,DF,Colón,Primera Division Argentina,31,1991,2.1,104,29,72,29,6,3,104,0,0,0,0,0,36,150,51,0,0,0,1,0,39,1,ar ARG,DF,Colón,Primera Division Argentina,31,1991,6,189,32,7.8,2.1,2,68,1,4,14,12,1.33,3,5,-2,-0.95,-0.51,1.3,3.9,-2.6,-1.24,-0.89,ar ARG,DF,Colón,Primera Division Argentina,31,1991,2.1,0,0,0,1,1,0,0,0,3,0,0,0,11,14,5,73.7
Guillermo Acosta,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,25,23,"1,874",20.8,0,2,2,0,0,0,6,1,1.4,1.4,1.3,2.7,18,103,26,0.00,0.10,0.10,0.00,0.10,0.07,0.06,0.13,0.07,0.13,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,20.8,0,18,1,5.6,0.86,0.05,0.00,0.00,23.1,0,0,0,1.4,1.4,0.08,-1.4,-1.4,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,20.8,754,925,81.5,13658,4776,317,373,85.0,336,387,86.8,84,113,74.3,2,1.3,1.3,+0.7,18,81,15,3,103,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,20.8,925,897,24,22,2,7,11,2,0,0,0,0,754,4,20,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,20.8,34,1.64,30,0,1,2,0,1,2,0.10,1,0,0,1,0,0,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,20.8,39,29,21,14,4,23,45,51.1,22,19,7,12,26,65,31,2,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,20.8,1132,53,292,696,154,17,1132,19,10,52.6,6,31.6,504,2294,1081,18,8,1,21,8,595,26,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,25,"1,874",75,77.1,20.8,23,79,8,2,27,1,1.32,20,20,0,0.00,+0.32,21.9,24.6,-2.7,-0.13,+0.39,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,20.8,6,1,0,25,23,0,11,26,29,0,1,0,166,28,24,53.8
Lautaro Acosta,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,19,12,932,10.4,0,0,0,0,0,0,2,0,1.7,1.7,1.4,3.2,19,33,26,0.00,0.00,0.00,0.00,0.00,0.17,0.14,0.30,0.17,0.30,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,10.4,0,11,2,18.2,1.06,0.19,0.00,0.00,14.0,0,0,0,1.7,1.7,0.16,-1.7,-1.7,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,10.4,222,296,75.0,3136,1053,120,151,79.5,83,100,83.0,8,15,53.3,0,1.4,0.5,-1.4,12,21,3,1,33,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,10.4,296,284,11,3,0,0,10,4,1,1,0,0,222,1,8,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,10.4,31,2.99,21,0,1,1,8,0,1,0.10,0,0,0,0,1,0,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,10.4,17,13,6,9,2,7,27,25.9,20,12,3,9,8,25,10,0,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,10.4,423,12,79,232,125,26,423,24,9,37.5,5,20.8,237,1236,657,19,12,2,21,15,249,26,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,19,932,49,38.4,10.4,12,68,2,7,17,1,1.63,18,14,+4,+0.39,-0.03,17.1,11.2,+5.9,+0.57,+0.39,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,10.4,2,0,0,24,46,1,10,8,13,2,0,0,62,22,20,52.4
Lucas Acosta,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18,18,"1,620",18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18.0,380,566,67.1,10759,7506,74,74,100.0,193,193,100.0,113,296,38.2,0,0.0,0.1,0.0,0,12,0,0,0,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18.0,566,370,194,44,0,1,0,0,0,0,0,0,380,2,0,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18.0,4,0.22,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18.0,591,449,589,2,0,0,591,0,0,0,0,0,327,2148,1547,0,0,0,0,0,230,0,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18,"1,620",90,66.7,18.0,18,90,18,0,0,9,1.56,24,17,+7,+0.39,-0.06,25.5,19.3,+6.3,+0.35,+0.07,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18.0,2,0,0,1,0,0,0,1,0,0,0,0,8,1,1,50.0
Tomás Adoryán,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,2,0,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.12,0.10,0.23,0.12,0.23,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,0.4,0,2,1,50.0,4.62,2.31,0.00,0.00,20.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,0.4,16,20,80.0,272,90,11,12,91.7,3,4,75.0,2,3,66.7,0,0.0,0.0,0.0,1,0,0,0,1,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,0.4,20,17,3,0,0,1,2,3,0,0,0,0,16,0,0,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,0.4,2,4.62,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,0.4,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,0.4,27,0,3,16,8,3,27,0,0,0,0,0,12,54,21,1,0,1,2,0,18,2,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,2,39,20,1.6,0.4,0,0,0,2,20,4,0.00,0,0,0,0.00,+0.41,0.4,0.2,+0.2,+0.51,+0.49,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,0.4,0,0,0,0,3,0,2,0,0,0,0,0,2,2,1,66.7
Luis Advíncula,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,18,16,"1,438",16.0,0,3,3,0,0,0,3,0,0.3,0.3,2.7,2.9,33,73,81,0.00,0.19,0.19,0.00,0.19,0.02,0.17,0.18,0.02,0.18,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,16.0,0,9,5,55.6,0.56,0.31,0.00,0.00,23.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,16.0,669,819,81.7,11176,3671,343,381,90.0,252,298,84.6,61,98,62.2,3,2.7,2.4,+0.3,22,53,17,8,73,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,16.0,819,690,128,8,1,6,38,118,2,0,2,0,669,1,20,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,16.0,39,2.44,30,3,3,0,2,1,8,0.50,6,0,1,0,1,0,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,16.0,35,20,17,17,1,21,27,77.8,6,20,4,16,6,41,16,0,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,16.0,980,32,225,509,255,21,980,34,15,44.1,15,44.1,559,2885,1450,33,24,4,24,17,632,81,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,18,"1,438",80,59.2,16.0,16,88,13,2,18,1,1.50,19,15,+4,+0.25,-0.20,17.6,18.8,-1.2,-0.08,-0.31,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,16.0,3,0,0,20,18,2,38,6,20,0,0,0,78,7,8,46.7
Facundo Aguero,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,5,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,1.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,1.4,46,60,76.7,801,325,20,23,87.0,19,25,76.0,6,8,75.0,0,0.0,0.0,0.0,1,4,1,1,6,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,1.4,60,58,2,2,0,0,1,0,0,0,0,0,46,0,1,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,1.4,1,0.72,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,1.4,4,1,2,2,0,1,4,25.0,3,1,0,1,3,7,11,0,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,1.4,84,9,35,45,4,2,84,0,0,0,0,0,36,205,94,1,0,0,3,1,43,0,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,5,126,25,5.2,1.4,1,61,0,4,16,18,1.20,1,2,-1,-0.71,-1.03,1.0,2.4,-1.5,-1.06,-1.09,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,1.4,0,0,0,4,1,0,1,3,1,0,0,0,7,4,6,40.0
