Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
Ahmed Abdullahi,ng NGA,FW,Gent,Belgian Pro League,19,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,ng NGA,FW,Gent,Belgian Pro League,19,2004,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,ng NGA,FW,Gent,Belgian Pro League,19,2004,0.3,4,6,66.7,74,26,1,1,100.0,3,4,75.0,0,0,0,0,0.0,0.0,0.0,1,2,0,0,2,ng NGA,FW,Gent,Belgian Pro League,19,2004,0.3,6,4,2,0,0,0,1,0,0,0,0,0,4,0,0,ng NGA,FW,Gent,Belgian Pro League,19,2004,0.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,ng NGA,FW,Gent,Belgian Pro League,19,2004,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,ng NGA,FW,Gent,Belgian Pro League,19,2004,0.3,8,0,1,5,2,0,8,1,0,0.0,1,100.0,4,30,4,0,0,0,0,1,3,3,ng NGA,FW,Gent,Belgian Pro League,19,2004,1,29,29,1.1,0.3,0,0,0,1,29,0,0.00,0,3,-3,-9.31,-9.92,0.0,1.1,-1.1,-3.27,-3.54,ng NGA,FW,Gent,Belgian Pro League,19,2004,0.3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Shuto Abe,jp JPN,MF,RWD Molenbeek,Belgian Pro League,25,1997,28,15,"1,475",16.4,1,1,2,1,0,0,4,0,1.3,1.3,1.3,2.6,12,70,35,0.06,0.06,0.12,0.06,0.12,0.08,0.08,0.16,0.08,0.16,jp JPN,MF,RWD Molenbeek,Belgian Pro League,25,1997,16.4,1,16,6,37.5,0.98,0.37,0.06,0.17,21.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,jp JPN,MF,RWD Molenbeek,Belgian Pro League,25,1997,16.4,525,697,75.3,8876,2426,238,298,79.9,217,273,79.5,49,75,65.3,1,1.3,1.3,-0.3,9,59,7,2,70,jp JPN,MF,RWD Molenbeek,Belgian Pro League,25,1997,16.4,697,681,10,5,1,2,9,1,0,0,0,0,525,6,19,jp JPN,MF,RWD Molenbeek,Belgian Pro League,25,1997,16.4,22,1.34,16,0,0,3,2,1,2,0.12,1,0,0,1,0,0,jp JPN,MF,RWD Molenbeek,Belgian Pro League,25,1997,16.4,47,32,23,17,7,18,46,39.1,28,21,6,15,13,60,37,0,jp JPN,MF,RWD Molenbeek,Belgian Pro League,25,1997,16.4,889,45,255,486,156,21,889,14,6,42.9,8,57.1,577,3003,1072,12,15,2,32,14,508,35,jp JPN,MF,RWD Molenbeek,Belgian Pro League,25,1997,28,"1,475",53,54.6,16.4,15,81,9,13,19,1,0.88,17,37,-20,-1.22,-0.04,18.6,39.7,-21.2,-1.29,-0.49,jp JPN,MF,RWD Molenbeek,Belgian Pro League,25,1997,16.4,4,0,0,32,16,1,9,13,32,0,1,0,97,10,17,37.0
Abner,br BRA,"DF,MF",RWD Molenbeek,Belgian Pro League,27,1996,25,20,"1,850",20.6,0,0,0,0,0,0,4,0,0.6,0.6,0.5,1.1,38,73,89,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,br BRA,"DF,MF",RWD Molenbeek,Belgian Pro League,27,1996,20.6,0,6,1,16.7,0.29,0.05,0.00,0.00,17.5,0,0,0,0.6,0.6,0.10,-0.6,-0.6,br BRA,"DF,MF",RWD Molenbeek,Belgian Pro League,27,1996,20.6,651,873,74.6,10746,3762,286,334,85.6,309,393,78.6,40,110,36.4,0,0.5,0.5,-0.5,7,44,9,3,73,br BRA,"DF,MF",RWD Molenbeek,Belgian Pro League,27,1996,20.6,873,705,165,12,0,3,56,153,0,0,0,0,651,3,19,br BRA,"DF,MF",RWD Molenbeek,Belgian Pro League,27,1996,20.6,21,1.02,16,1,0,2,2,0,0,0.00,0,0,0,0,0,0,br BRA,"DF,MF",RWD Molenbeek,Belgian Pro League,27,1996,20.6,23,13,11,7,5,14,24,58.3,10,15,1,14,25,48,57,1,br BRA,"DF,MF",RWD Molenbeek,Belgian Pro League,27,1996,20.6,1096,79,327,502,271,11,1096,31,6,19.4,20,64.5,693,4369,2040,38,38,2,35,7,605,89,br BRA,"DF,MF",RWD Molenbeek,Belgian Pro League,27,1996,25,"1,850",74,68.5,20.6,20,88,18,5,19,5,0.82,21,40,-19,-0.92,+0.88,23.9,40.2,-16.4,-0.80,+0.86,br BRA,"DF,MF",RWD Molenbeek,Belgian Pro League,27,1996,20.6,4,0,0,19,37,1,56,25,13,0,0,1,103,23,21,52.3
Francis Abu,gh GHA,MF,Cercle Brugge,Belgian Pro League,22,2001,8,5,409,4.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,3,30,2,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06,gh GHA,MF,Cercle Brugge,Belgian Pro League,22,2001,4.5,0,5,2,40.0,1.10,0.44,0.00,0.00,27.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,gh GHA,MF,Cercle Brugge,Belgian Pro League,22,2001,4.5,163,231,70.6,2812,1107,65,88,73.9,76,98,77.6,13,32,40.6,0,0.1,0.3,-0.1,4,22,5,0,30,gh GHA,MF,Cercle Brugge,Belgian Pro League,22,2001,4.5,231,206,23,18,0,0,9,1,4,1,3,0,163,2,3,gh GHA,MF,Cercle Brugge,Belgian Pro League,22,2001,4.5,10,2.21,8,2,0,0,0,0,0,0.00,0,0,0,0,0,0,gh GHA,MF,Cercle Brugge,Belgian Pro League,22,2001,4.5,18,8,4,12,2,11,13,84.6,2,7,0,7,8,26,2,0,gh GHA,MF,Cercle Brugge,Belgian Pro League,22,2001,4.5,281,7,34,185,66,0,281,3,3,100.0,0,0.0,138,573,215,3,5,0,7,0,110,2,gh GHA,MF,Cercle Brugge,Belgian Pro League,22,2001,8,409,51,15.1,4.5,5,71,2,3,19,1,1.44,3,3,0,0.00,-0.39,4.9,6.0,-1.2,-0.26,-0.76,gh GHA,MF,Cercle Brugge,Belgian Pro League,22,2001,4.5,2,0,0,6,9,0,9,8,8,0,0,0,55,10,3,76.9
Tayo Adaramola,ie IRL,DF,RWD Molenbeek,Belgian Pro League,19,2003,9,8,575,6.4,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,19,22,25,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.14,0.04,0.14,ie IRL,DF,RWD Molenbeek,Belgian Pro League,19,2003,6.4,0,3,0,0.0,0.47,0.00,0.00,0,17.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,ie IRL,DF,RWD Molenbeek,Belgian Pro League,19,2003,6.4,182,245,74.3,2884,1196,93,111,83.8,75,100,75.0,8,19,42.1,0,0.6,0.3,-0.6,4,15,7,5,22,ie IRL,DF,RWD Molenbeek,Belgian Pro League,19,2003,6.4,245,202,43,3,0,1,20,40,0,0,0,0,182,0,9,ie IRL,DF,RWD Molenbeek,Belgian Pro League,19,2003,6.4,7,1.10,6,1,0,0,0,0,1,0.16,1,0,0,0,0,0,ie IRL,DF,RWD Molenbeek,Belgian Pro League,19,2003,6.4,21,14,13,8,0,12,17,70.6,5,7,1,6,7,28,19,1,ie IRL,DF,RWD Molenbeek,Belgian Pro League,19,2003,6.4,347,35,132,143,84,7,347,24,14,58.3,10,41.7,196,1628,724,19,12,5,13,9,159,25,ie IRL,DF,RWD Molenbeek,Belgian Pro League,19,2003,9,575,64,21.3,6.4,8,70,2,1,16,0,0.64,8,19,-11,-1.72,-0.66,7.9,16.5,-8.6,-1.34,-0.35,ie IRL,DF,RWD Molenbeek,Belgian Pro League,19,2003,6.4,0,0,0,10,4,1,20,7,14,0,1,0,43,8,7,53.3
Noah Adedeji,be BEL,"MF,FW",Genk,Belgian Pro League,18,2005,3,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.57,0.57,0.57,be BEL,"MF,FW",Genk,Belgian Pro League,18,2005,0.2,0,2,0,0.0,9.47,0.00,0.00,0,17.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,be BEL,"MF,FW",Genk,Belgian Pro League,18,2005,0.2,12,15,80.0,185,26,5,6,83.3,7,8,87.5,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,be BEL,"MF,FW",Genk,Belgian Pro League,18,2005,0.2,15,15,0,0,0,0,0,0,0,0,0,0,12,0,1,be BEL,"MF,FW",Genk,Belgian Pro League,18,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,be BEL,"MF,FW",Genk,Belgian Pro League,18,2005,0.2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,be BEL,"MF,FW",Genk,Belgian Pro League,18,2005,0.2,19,1,6,7,6,2,19,0,0,0,0,0,12,76,16,1,0,1,0,0,13,5,be BEL,"MF,FW",Genk,Belgian Pro League,18,2005,3,19,6,0.7,0.2,0,0,0,3,6,3,1.40,1,1,0,0.00,-0.67,0.7,0.9,-0.2,-0.82,-1.69,be BEL,"MF,FW",Genk,Belgian Pro League,18,2005,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jonathan Afolabi,ie IRL,FW,Kortrijk,Belgian Pro League,23,2000,10,4,397,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,2,7,27,0.23,0.00,0.23,0.23,0.23,0.06,0.11,0.18,0.06,0.18,ie IRL,FW,Kortrijk,Belgian Pro League,23,2000,4.4,1,4,2,50.0,0.91,0.45,0.25,0.50,13.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7,ie IRL,FW,Kortrijk,Belgian Pro League,23,2000,4.4,58,86,67.4,771,198,35,45,77.8,12,27,44.4,5,5,100.0,0,0.5,0.1,-0.5,4,5,3,0,7,ie IRL,FW,Kortrijk,Belgian Pro League,23,2000,4.4,86,84,2,0,1,0,3,0,0,0,0,0,58,0,0,ie IRL,FW,Kortrijk,Belgian Pro League,23,2000,4.4,4,0.90,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,ie IRL,FW,Kortrijk,Belgian Pro League,23,2000,4.4,2,1,1,1,0,1,3,33.3,2,0,0,0,0,2,1,0,ie IRL,FW,Kortrijk,Belgian Pro League,23,2000,4.4,126,3,10,62,56,11,126,4,1,25.0,3,75.0,97,629,141,2,3,0,19,6,99,27,ie IRL,FW,Kortrijk,Belgian Pro League,23,2000,10,397,40,14.7,4.4,4,70,0,6,20,0,1.15,5,5,0,0.00,+1.37,4.6,9.2,-4.6,-1.03,-0.06,ie IRL,FW,Kortrijk,Belgian Pro League,23,2000,4.4,1,0,0,10,4,3,3,0,1,0,0,0,13,8,5,61.5
Brian Agbor,cm CMR,DF,Gent,Belgian Pro League,22,2001,3,2,208,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,10,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,cm CMR,DF,Gent,Belgian Pro League,22,2001,2.3,0,1,0,0.0,0.43,0.00,0.00,0,8.0,0,0,0,0.1,0.1,0.13,-0.1,-0.1,cm CMR,DF,Gent,Belgian Pro League,22,2001,2.3,123,143,86.0,2616,837,37,43,86.0,69,73,94.5,17,25,68.0,0,0.0,0.0,0.0,1,11,0,0,10,cm CMR,DF,Gent,Belgian Pro League,22,2001,2.3,143,135,8,4,0,4,0,4,0,0,0,0,123,0,2,cm CMR,DF,Gent,Belgian Pro League,22,2001,2.3,1,0.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,cm CMR,DF,Gent,Belgian Pro League,22,2001,2.3,2,1,2,0,0,0,1,0.0,1,5,4,1,5,7,12,1,cm CMR,DF,Gent,Belgian Pro League,22,2001,2.3,173,19,70,101,2,1,173,2,1,50.0,1,50.0,127,591,291,1,1,0,3,0,114,0,cm CMR,DF,Gent,Belgian Pro League,22,2001,3,208,69,7.7,2.3,2,90,2,1,28,12,1.20,2,7,-5,-2.16,-2.89,2.2,5.4,-3.2,-1.41,-1.77,cm CMR,DF,Gent,Belgian Pro League,22,2001,2.3,0,0,0,1,1,0,0,5,1,0,0,0,13,3,0,100.0
Takahiro Akimoto,jp JPN,DF,OH Leuven,Belgian Pro League,25,1998,5,2,261,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,16,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,jp JPN,DF,OH Leuven,Belgian Pro League,25,1998,2.9,0,1,0,0.0,0.34,0.00,0.00,0,9.7,0,0,0,0.1,0.1,0.10,-0.1,-0.1,jp JPN,DF,OH Leuven,Belgian Pro League,25,1998,2.9,99,129,76.7,1469,631,53,58,91.4,35,51,68.6,5,10,50.0,0,0.0,0.2,0.0,2,9,3,0,16,jp JPN,DF,OH Leuven,Belgian Pro League,25,1998,2.9,129,101,28,2,0,0,2,26,0,0,0,0,99,0,2,jp JPN,DF,OH Leuven,Belgian Pro League,25,1998,2.9,8,2.76,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,jp JPN,DF,OH Leuven,Belgian Pro League,25,1998,2.9,5,4,3,2,0,2,4,50.0,2,2,1,1,6,11,9,0,jp JPN,DF,OH Leuven,Belgian Pro League,25,1998,2.9,165,9,53,75,40,5,165,3,2,66.7,1,33.3,90,557,249,3,4,0,7,1,81,13,jp JPN,DF,OH Leuven,Belgian Pro League,25,1998,5,261,52,9.7,2.9,2,86,1,3,30,4,1.67,5,3,+2,+0.69,+1.24,4.9,3.5,+1.4,+0.47,+0.93,jp JPN,DF,OH Leuven,Belgian Pro League,25,1998,2.9,1,0,0,3,1,0,2,6,4,0,0,0,13,7,5,58.3
Carlos Alberto,br BRA,"FW,MF",RWD Molenbeek,Belgian Pro League,21,2002,10,9,659,7.3,2,0,2,2,0,0,0,0,1.8,1.8,0.8,2.6,12,9,41,0.27,0.00,0.27,0.27,0.27,0.25,0.10,0.36,0.25,0.36,br BRA,"FW,MF",RWD Molenbeek,Belgian Pro League,21,2002,7.3,2,10,6,60.0,1.37,0.82,0.20,0.33,10.6,0,0,0,1.8,1.8,0.18,+0.2,+0.2,br BRA,"FW,MF",RWD Molenbeek,Belgian Pro League,21,2002,7.3,76,104,73.1,971,264,47,55,85.5,21,30,70.0,1,6,16.7,0,0.8,0.6,-0.8,4,2,2,0,9,br BRA,"FW,MF",RWD Molenbeek,Belgian Pro League,21,2002,7.3,104,94,6,0,1,1,2,5,0,0,0,0,76,4,2,br BRA,"FW,MF",RWD Molenbeek,Belgian Pro League,21,2002,7.3,11,1.50,9,0,0,2,0,0,2,0.27,2,0,0,0,0,0,br BRA,"FW,MF",RWD Molenbeek,Belgian Pro League,21,2002,7.3,11,8,6,3,2,4,11,36.4,7,12,0,12,9,20,8,0,br BRA,"FW,MF",RWD Molenbeek,Belgian Pro League,21,2002,7.3,206,9,44,85,88,22,206,18,6,33.3,12,66.7,114,845,422,12,8,6,20,5,102,41,br BRA,"FW,MF",RWD Molenbeek,Belgian Pro League,21,2002,10,659,66,24.4,7.3,9,72,2,1,14,0,0.56,5,21,-16,-2.19,-1.30,7.2,18.5,-11.3,-1.54,-0.63,br BRA,"FW,MF",RWD Molenbeek,Belgian Pro League,21,2002,7.3,0,0,0,9,7,1,2,9,8,0,0,0,27,8,19,29.6
