Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Carlos Enrique Áñez,bo BOL,DF,Royal Parí,Primera Division Bolivia,27,1995,20,17,"1,508",16.8,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,bo BOL,DF,Royal Parí,Primera Division Bolivia,27,1995,16.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,DF,Royal Parí,Primera Division Bolivia,27,1995,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Royal Parí,Primera Division Bolivia,27,1995,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Royal Parí,Primera Division Bolivia,27,1995,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Royal Parí,Primera Division Bolivia,27,1995,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Royal Parí,Primera Division Bolivia,27,1995,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Royal Parí,Primera Division Bolivia,27,1995,20,"1,508",75,52.4,16.8,17,81,10,3,45,1,1.20,24,28,-4,-0.24,+0.35,bo BOL,DF,Royal Parí,Primera Division Bolivia,27,1995,16.8,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Carlos Abastoflor,bo BOL,MF,Guabirá,Primera Division Bolivia,20,2002,25,7,877,9.7,3,4,7,3,0,0,2,0,0.31,0.41,0.72,0.31,0.72,bo BOL,MF,Guabirá,Primera Division Bolivia,20,2002,9.7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,MF,Guabirá,Primera Division Bolivia,20,2002,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Guabirá,Primera Division Bolivia,20,2002,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Guabirá,Primera Division Bolivia,20,2002,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Guabirá,Primera Division Bolivia,20,2002,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Guabirá,Primera Division Bolivia,20,2002,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Guabirá,Primera Division Bolivia,20,2002,25,877,35,30.5,9.7,7,61,2,18,25,4,1.20,16,17,-1,-0.10,+0.53,bo BOL,MF,Guabirá,Primera Division Bolivia,20,2002,9.7,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cristhian Abastoflor,bo BOL,MF,Aurora,Primera Division Bolivia,21,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,bo BOL,MF,Aurora,Primera Division Bolivia,21,2001,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,MF,Aurora,Primera Division Bolivia,21,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,21,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,21,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,21,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,21,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,21,2001,1,6,6,0.2,0.1,0,0,0,1,6,14,3.00,0,0,0,0.00,-0.44,bo BOL,MF,Aurora,Primera Division Bolivia,21,2001,0.1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Freddy Abastoflor,bo BOL,FW,Guabirá,Primera Division Bolivia,30,1993,8,3,387,4.3,2,0,2,2,0,0,2,0,0.47,0.00,0.47,0.47,0.47,bo BOL,FW,Guabirá,Primera Division Bolivia,30,1993,4.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,FW,Guabirá,Primera Division Bolivia,30,1993,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Guabirá,Primera Division Bolivia,30,1993,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Guabirá,Primera Division Bolivia,30,1993,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Guabirá,Primera Division Bolivia,30,1993,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Guabirá,Primera Division Bolivia,30,1993,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,Guabirá,Primera Division Bolivia,30,1993,8,387,48,13.4,4.3,3,68,0,5,37,2,0.88,3,5,-2,-0.47,0.00,bo BOL,FW,Guabirá,Primera Division Bolivia,30,1993,4.3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Victor Abrego,bo BOL,FW,FC Universitario,Primera Division Bolivia,25,1997,28,24,"2,192",24.4,6,4,10,5,1,1,3,1,0.25,0.16,0.41,0.21,0.37,bo BOL,FW,FC Universitario,Primera Division Bolivia,25,1997,24.4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,bo BOL,FW,FC Universitario,Primera Division Bolivia,25,1997,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,FC Universitario,Primera Division Bolivia,25,1997,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,FC Universitario,Primera Division Bolivia,25,1997,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,FC Universitario,Primera Division Bolivia,25,1997,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,FC Universitario,Primera Division Bolivia,25,1997,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,FW,FC Universitario,Primera Division Bolivia,25,1997,28,"2,192",78,76.1,24.4,24,85,15,4,39,0,1.29,25,23,+2,+0.08,+0.08,bo BOL,FW,FC Universitario,Primera Division Bolivia,25,1997,24.4,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Shelove Achelus,ht HAI,MF,Real Santa Cruz,Primera Division Bolivia,23,1999,14,9,751,8.3,2,1,3,2,0,0,2,0,0.24,0.12,0.36,0.24,0.36,ht HAI,MF,Real Santa Cruz,Primera Division Bolivia,23,1999,8.3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ht HAI,MF,Real Santa Cruz,Primera Division Bolivia,23,1999,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,ht HAI,MF,Real Santa Cruz,Primera Division Bolivia,23,1999,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ht HAI,MF,Real Santa Cruz,Primera Division Bolivia,23,1999,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ht HAI,MF,Real Santa Cruz,Primera Division Bolivia,23,1999,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ht HAI,MF,Real Santa Cruz,Primera Division Bolivia,23,1999,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ht HAI,MF,Real Santa Cruz,Primera Division Bolivia,23,1999,14,751,54,26.1,8.3,9,67,1,5,29,1,1.29,6,12,-6,-0.72,-0.51,ht HAI,MF,Real Santa Cruz,Primera Division Bolivia,23,1999,8.3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mauricio Adorno,bo BOL,GK,Atlético Palmaflor,Primera Division Bolivia,21,2001,24,24,"2,160",24.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,bo BOL,GK,Atlético Palmaflor,Primera Division Bolivia,21,2001,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,GK,Atlético Palmaflor,Primera Division Bolivia,21,2001,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Atlético Palmaflor,Primera Division Bolivia,21,2001,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Atlético Palmaflor,Primera Division Bolivia,21,2001,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Atlético Palmaflor,Primera Division Bolivia,21,2001,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Atlético Palmaflor,Primera Division Bolivia,21,2001,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,GK,Atlético Palmaflor,Primera Division Bolivia,21,2001,24,"2,160",90,75.0,24.0,24,90,24,0,0,5,1.08,27,46,-19,-0.79,+0.21,bo BOL,GK,Atlético Palmaflor,Primera Division Bolivia,21,2001,24.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sergio Adrián,bo BOL,DF,Atlético Palmaflor,Primera Division Bolivia,26,1996,25,22,"1,910",21.2,1,2,3,1,0,0,5,0,0.05,0.09,0.14,0.05,0.14,bo BOL,DF,Atlético Palmaflor,Primera Division Bolivia,26,1996,21.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,DF,Atlético Palmaflor,Primera Division Bolivia,26,1996,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Atlético Palmaflor,Primera Division Bolivia,26,1996,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Atlético Palmaflor,Primera Division Bolivia,26,1996,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Atlético Palmaflor,Primera Division Bolivia,26,1996,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Atlético Palmaflor,Primera Division Bolivia,26,1996,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Atlético Palmaflor,Primera Division Bolivia,26,1996,25,"1,910",76,66.3,21.2,22,83,15,3,31,0,1.08,22,37,-15,-0.71,+0.41,bo BOL,DF,Atlético Palmaflor,Primera Division Bolivia,26,1996,21.2,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fernando Aguilar,bo BOL,MF,Aurora,Primera Division Bolivia,25,1997,14,10,862,9.6,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,bo BOL,MF,Aurora,Primera Division Bolivia,25,1997,9.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,MF,Aurora,Primera Division Bolivia,25,1997,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,25,1997,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,25,1997,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,25,1997,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,25,1997,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,MF,Aurora,Primera Division Bolivia,25,1997,14,862,62,29.9,9.6,10,79,6,4,19,12,1.50,11,8,+3,+0.31,-0.18,bo BOL,MF,Aurora,Primera Division Bolivia,25,1997,9.6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Daniel Aguilera,bo BOL,DF,Libertad Gran Mamoré FC,Primera Division Bolivia,18,2004,3,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,bo BOL,DF,Libertad Gran Mamoré FC,Primera Division Bolivia,18,2004,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,bo BOL,DF,Libertad Gran Mamoré FC,Primera Division Bolivia,18,2004,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Libertad Gran Mamoré FC,Primera Division Bolivia,18,2004,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Libertad Gran Mamoré FC,Primera Division Bolivia,18,2004,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Libertad Gran Mamoré FC,Primera Division Bolivia,18,2004,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Libertad Gran Mamoré FC,Primera Division Bolivia,18,2004,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bo BOL,DF,Libertad Gran Mamoré FC,Primera Division Bolivia,18,2004,3,120,40,4.2,1.3,1,45,0,2,38,5,1.00,0,4,-4,-3.00,-2.05,bo BOL,DF,Libertad Gran Mamoré FC,Primera Division Bolivia,18,2004,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
