Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
Nicolás Acevedo,uy URU,MF,Bahia,Brasileirao,23,1999,31,21,"1,970",21.9,0,0,0,0,0,0,7,1,0.9,0.9,1.2,2.1,30,112,38,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10,uy URU,MF,Bahia,Brasileirao,23,1999,21.9,0,23,4,17.4,1.05,0.18,0.00,0.00,25.3,0,0,0,0.9,0.9,0.04,-0.9,-0.9,uy URU,MF,Bahia,Brasileirao,23,1999,21.9,1030,1238,83.2,17306,5450,495,545,90.8,423,497,85.1,82,118,69.5,0,1.2,1.8,-1.2,16,105,11,3,112,uy URU,MF,Bahia,Brasileirao,23,1999,21.9,1238,1191,46,40,3,7,12,6,0,0,0,0,1030,1,29,uy URU,MF,Bahia,Brasileirao,23,1999,21.9,43,1.96,34,1,1,4,2,1,0,0.00,0,0,0,0,0,0,uy URU,MF,Bahia,Brasileirao,23,1999,21.9,73,46,24,43,6,41,86,47.7,45,31,1,30,27,100,22,1,uy URU,MF,Bahia,Brasileirao,23,1999,21.9,1482,38,351,945,202,16,1482,32,14,43.8,13,40.6,896,4239,2242,30,26,5,25,18,998,38,uy URU,MF,Bahia,Brasileirao,23,1999,31,"1,970",64,57.6,21.9,21,84,16,10,20,3,1.16,20,28,-8,-0.37,-0.68,26.8,29.9,-3.1,-0.14,-0.29,uy URU,MF,Bahia,Brasileirao,23,1999,21.9,7,1,1,39,34,0,12,27,46,0,0,0,174,22,29,43.1
Luiz Adriano,br BRA,FW,Internacional,Brasileirao,35,1987,29,17,"1,330",14.8,3,1,4,3,0,0,1,1,2.6,2.6,1.3,3.9,3,23,49,0.20,0.07,0.27,0.20,0.27,0.18,0.09,0.26,0.18,0.26,br BRA,FW,Internacional,Brasileirao,35,1987,14.8,3,24,11,45.8,1.62,0.74,0.13,0.27,14.4,0,0,0,2.6,2.6,0.11,+0.4,+0.4,br BRA,FW,Internacional,Brasileirao,35,1987,14.8,208,253,82.2,2628,429,128,147,87.1,58,66,87.9,6,8,75.0,1,1.3,1.7,-0.3,12,15,3,0,23,br BRA,FW,Internacional,Brasileirao,35,1987,14.8,253,228,23,0,2,0,0,1,0,0,0,0,208,2,6,br BRA,FW,Internacional,Brasileirao,35,1987,14.8,23,1.56,17,0,0,4,2,0,2,0.14,1,0,0,1,0,0,br BRA,FW,Internacional,Brasileirao,35,1987,14.8,12,7,0,6,6,2,7,28.6,5,10,2,8,9,21,18,0,br BRA,FW,Internacional,Brasileirao,35,1987,14.8,362,20,44,178,144,47,362,7,3,42.9,4,57.1,180,526,126,3,3,1,18,16,250,49,br BRA,FW,Internacional,Brasileirao,35,1987,29,"1,330",46,38.9,14.8,17,68,3,12,15,6,1.28,11,20,-9,-0.61,-1.04,13.3,18.8,-5.5,-0.37,-0.40,br BRA,FW,Internacional,Brasileirao,35,1987,14.8,1,1,0,14,21,3,0,9,7,0,0,0,30,25,33,43.1
Adriel,br BRA,GK,Grêmio,Brasileirao,22,2001,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,br BRA,GK,Grêmio,Brasileirao,22,2001,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,br BRA,GK,Grêmio,Brasileirao,22,2001,2.0,28,63,44.4,1101,947,3,3,100.0,10,10,100.0,15,50,30.0,0,0.0,0.0,0.0,0,1,0,0,0,br BRA,GK,Grêmio,Brasileirao,22,2001,2.0,63,25,38,9,0,1,0,0,0,0,0,0,28,0,0,br BRA,GK,Grêmio,Brasileirao,22,2001,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,br BRA,GK,Grêmio,Brasileirao,22,2001,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,br BRA,GK,Grêmio,Brasileirao,22,2001,2.0,65,54,65,0,0,0,65,0,0,0,0,0,23,141,109,0,0,0,0,0,10,0,br BRA,GK,Bahia,Brasileirao,22,2001,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,br BRA,GK,Grêmio,Brasileirao,22,2001,2.0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
Adryelson,br BRA,DF,Botafogo (RJ),Brasileirao,24,1998,35,35,"2,996",33.3,1,1,2,1,0,0,6,1,1.1,1.1,0.3,1.4,2,56,3,0.03,0.03,0.06,0.03,0.06,0.03,0.01,0.04,0.03,0.04,br BRA,DF,Botafogo (RJ),Brasileirao,24,1998,33.3,1,12,5,41.7,0.36,0.15,0.08,0.20,9.9,0,0,0,1.1,1.1,0.09,-0.1,-0.1,br BRA,DF,Botafogo (RJ),Brasileirao,24,1998,33.3,1303,1524,85.5,25681,9385,417,470,88.7,727,818,88.9,148,211,70.1,1,0.3,0.5,+0.7,2,33,1,0,56,br BRA,DF,Botafogo (RJ),Brasileirao,24,1998,33.3,1524,1458,65,51,0,11,0,3,0,0,0,0,1303,1,6,br BRA,DF,Botafogo (RJ),Brasileirao,24,1998,33.3,13,0.39,12,0,0,0,0,1,2,0.06,1,0,0,0,0,1,br BRA,DF,Botafogo (RJ),Brasileirao,24,1998,33.3,34,20,23,10,1,17,26,65.4,9,43,30,13,61,95,202,2,br BRA,DF,Botafogo (RJ),Brasileirao,24,1998,33.3,1896,292,989,878,35,28,1896,0,0,0,0,0,980,4178,2299,2,3,1,3,1,1141,3,br BRA,DF,Botafogo (RJ),Brasileirao,24,1998,35,"2,996",86,87.6,33.3,35,86,29,0,0,0,1.74,51,29,+22,+0.66,+0.87,46.5,43.4,+3.1,+0.09,+0.53,br BRA,DF,Botafogo (RJ),Brasileirao,24,1998,33.3,6,1,0,20,19,0,0,61,20,0,0,0,127,92,45,67.2
Adson,br BRA,"FW,MF",Corinthians,Brasileirao,22,2000,15,9,857,9.5,0,1,1,0,0,0,0,0,0.4,0.4,1.0,1.4,49,53,68,0.00,0.11,0.11,0.00,0.11,0.04,0.11,0.15,0.04,0.15,br BRA,"FW,MF",Corinthians,Brasileirao,22,2000,9.5,0,10,3,30.0,1.05,0.32,0.00,0.00,24.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4,br BRA,"FW,MF",Corinthians,Brasileirao,22,2000,9.5,315,390,80.8,4729,1213,185,209,88.5,94,123,76.4,21,32,65.6,1,1.0,1.4,0.0,15,32,13,1,53,br BRA,"FW,MF",Corinthians,Brasileirao,22,2000,9.5,390,386,3,0,2,5,10,2,1,0,0,0,315,1,7,br BRA,"FW,MF",Corinthians,Brasileirao,22,2000,9.5,33,3.47,25,0,5,1,1,1,3,0.32,2,0,1,0,0,0,br BRA,"FW,MF",Corinthians,Brasileirao,22,2000,9.5,34,26,22,9,3,12,21,57.1,9,15,2,13,8,42,1,0,br BRA,"FW,MF",Corinthians,Brasileirao,22,2000,9.5,502,7,79,236,198,22,502,45,25,55.6,14,31.1,337,2592,1465,49,33,7,17,5,357,68,br BRA,"FW,MF",Corinthians,Brasileirao,22,2000,15,857,57,25.1,9.5,9,73,1,6,33,2,1.53,10,9,+1,+0.11,+0.18,10.3,11.0,-0.7,-0.08,+0.22,br BRA,"FW,MF",Corinthians,Brasileirao,22,2000,9.5,0,0,0,11,20,5,10,8,26,0,0,0,52,7,4,63.6
Adyson,br BRA,"FW,MF",América (MG),Brasileirao,17,2005,8,1,245,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,17,17,42,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21,br BRA,"FW,MF",América (MG),Brasileirao,17,2005,2.7,0,4,1,25.0,1.47,0.37,0.00,0.00,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,br BRA,"FW,MF",América (MG),Brasileirao,17,2005,2.7,97,140,69.3,1609,650,48,56,85.7,37,51,72.5,8,20,40.0,0,0.4,0.7,-0.4,10,8,13,4,17,br BRA,"FW,MF",América (MG),Brasileirao,17,2005,2.7,140,123,16,5,1,0,31,4,7,4,3,0,97,1,5,br BRA,"FW,MF",América (MG),Brasileirao,17,2005,2.7,16,5.88,14,2,0,0,0,0,0,0.00,0,0,0,0,0,0,br BRA,"FW,MF",América (MG),Brasileirao,17,2005,2.7,8,5,3,3,2,3,6,50.0,3,1,0,1,5,13,0,0,br BRA,"FW,MF",América (MG),Brasileirao,17,2005,2.7,176,0,12,61,107,10,176,13,7,53.8,4,30.8,123,898,560,17,14,5,6,9,127,42,br BRA,"FW,MF",América (MG),Brasileirao,17,2005,8,245,31,7.2,2.7,1,90,1,7,22,6,0.38,0,7,-7,-2.57,-1.66,2.7,5.3,-2.6,-0.96,-0.57,br BRA,"FW,MF",América (MG),Brasileirao,17,2005,2.7,1,0,0,6,7,0,31,5,5,0,0,0,16,0,0,0
Washington Aguerre,uy URU,GK,América (MG),Brasileirao,29,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,uy URU,GK,América (MG),Brasileirao,29,1993,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,uy URU,GK,América (MG),Brasileirao,29,1993,2.0,31,41,75.6,816,564,7,7,100.0,12,12,100.0,11,21,52.4,0,0.0,0.0,0.0,0,0,0,0,0,uy URU,GK,América (MG),Brasileirao,29,1993,2.0,41,17,24,8,0,0,0,0,0,0,0,0,31,0,0,uy URU,GK,América (MG),Brasileirao,29,1993,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,uy URU,GK,América (MG),Brasileirao,29,1993,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,uy URU,GK,América (MG),Brasileirao,29,1993,2.0,45,40,45,0,0,0,45,0,0,0,0,0,17,110,85,0,0,0,0,0,6,0,uy URU,GK,América (MG),Brasileirao,29,1993,2,180,90,5.3,2.0,2,90,2,0,0,11,0.50,3,4,-1,-0.50,+0.56,2.4,2.7,-0.3,-0.16,+0.28,uy URU,GK,América (MG),Brasileirao,29,1993,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carlos Alberto,br BRA,"FW,MF",Botafogo (RJ),Brasileirao,20,2002,15,1,296,3.3,2,0,2,2,0,0,0,0,1.1,1.1,0.2,1.4,10,9,29,0.61,0.00,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42,br BRA,"FW,MF",Botafogo (RJ),Brasileirao,20,2002,3.3,2,7,3,42.9,2.13,0.91,0.29,0.67,12.5,0,0,0,1.1,1.1,0.16,+0.9,+0.9,br BRA,"FW,MF",Botafogo (RJ),Brasileirao,20,2002,3.3,63,75,84.0,947,216,33,36,91.7,24,29,82.8,4,5,80.0,0,0.2,0.8,-0.2,2,2,4,1,9,br BRA,"FW,MF",Botafogo (RJ),Brasileirao,20,2002,3.3,75,69,6,0,0,0,5,6,0,0,0,0,63,0,1,br BRA,"FW,MF",Botafogo (RJ),Brasileirao,20,2002,3.3,9,2.73,6,0,1,0,2,0,3,0.91,1,0,1,0,1,0,br BRA,"FW,MF",Botafogo (RJ),Brasileirao,20,2002,3.3,3,0,1,1,1,2,5,40.0,3,5,2,3,1,4,4,0,br BRA,"FW,MF",Botafogo (RJ),Brasileirao,20,2002,3.3,127,4,19,46,66,16,127,17,8,47.1,7,41.2,83,626,302,10,7,2,9,5,83,29,br BRA,"FW,MF",Botafogo (RJ),Brasileirao,20,2002,15,296,20,8.7,3.3,1,64,0,14,17,11,1.07,7,10,-3,-0.91,-1.60,5.4,6.9,-1.5,-0.44,-0.52,br BRA,"FW,MF",Botafogo (RJ),Brasileirao,20,2002,3.3,0,0,0,5,7,0,5,1,0,1,0,0,14,4,7,36.4
Yuri Alberto,br BRA,FW,Corinthians,Brasileirao,21,2001,34,32,"2,722",30.2,8,3,11,8,0,0,6,0,10.0,10.0,2.7,12.7,41,28,201,0.26,0.10,0.36,0.26,0.36,0.33,0.09,0.42,0.33,0.42,br BRA,FW,Corinthians,Brasileirao,21,2001,30.2,8,86,28,32.6,2.84,0.93,0.09,0.29,14.6,0,0,0,10.0,10.0,0.12,-2.0,-2.0,br BRA,FW,Corinthians,Brasileirao,21,2001,30.2,418,581,71.9,5458,802,261,327,79.8,120,159,75.5,11,20,55.0,3,2.7,1.5,+0.3,22,20,6,0,28,br BRA,FW,Corinthians,Brasileirao,21,2001,30.2,581,524,55,1,1,3,13,3,0,0,0,0,418,2,15,br BRA,FW,Corinthians,Brasileirao,21,2001,30.2,56,1.85,34,1,3,8,8,2,9,0.30,4,0,0,3,2,0,br BRA,FW,Corinthians,Brasileirao,21,2001,30.2,23,14,6,8,9,9,21,42.9,12,22,2,20,4,27,17,0,br BRA,FW,Corinthians,Brasileirao,21,2001,30.2,913,23,64,420,437,138,913,52,23,44.2,21,40.4,528,2585,959,41,30,20,93,35,700,201,br BRA,FW,Corinthians,Brasileirao,21,2001,34,"2,722",80,79.6,30.2,32,83,17,2,28,1,1.35,41,36,+5,+0.17,+0.94,33.2,37.5,-4.4,-0.14,+0.48,br BRA,FW,Corinthians,Brasileirao,21,2001,30.2,6,0,0,66,71,15,13,4,14,1,0,0,67,62,80,43.7
Ale,br BRA,MF,América (MG),Brasileirao,32,1990,27,14,"1,424",15.8,1,0,1,1,0,0,7,1,1.8,1.8,1.2,3.0,29,110,37,0.06,0.00,0.06,0.06,0.06,0.12,0.07,0.19,0.12,0.19,br BRA,MF,América (MG),Brasileirao,32,1990,15.8,1,13,1,7.7,0.82,0.06,0.08,1.00,14.2,0,0,0,1.8,1.8,0.14,-0.8,-0.8,br BRA,MF,América (MG),Brasileirao,32,1990,15.8,770,878,87.7,12931,4158,361,405,89.1,326,356,91.6,61,70,87.1,0,1.2,0.8,-1.2,16,88,8,3,110,br BRA,MF,América (MG),Brasileirao,32,1990,15.8,878,841,36,26,0,7,11,7,0,0,0,0,770,1,10,br BRA,MF,América (MG),Brasileirao,32,1990,15.8,35,2.21,34,0,1,0,0,0,0,0.00,0,0,0,0,0,0,br BRA,MF,América (MG),Brasileirao,32,1990,15.8,39,17,17,20,2,12,37,32.4,25,21,5,16,28,67,24,0,br BRA,MF,América (MG),Brasileirao,32,1990,15.8,1076,43,256,654,182,30,1076,26,16,61.5,8,30.8,682,3840,1829,29,21,2,25,19,691,37,br BRA,MF,América (MG),Brasileirao,32,1990,27,"1,424",53,41.6,15.8,14,80,7,13,23,7,0.59,14,34,-20,-1.26,-0.41,20.1,29.6,-9.4,-0.60,-0.29,br BRA,MF,América (MG),Brasileirao,32,1990,15.8,7,1,1,31,24,1,11,28,17,0,0,0,145,20,10,66.7
