,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
0,Audax Italiano,28,27.0,47.2,30,330,2700,30.0,35,24,59,31,4,5,86,11,1.17,0.8,1.97,1.03,1.83,Audax Italiano,2,30,30,2700,30.0,43,1.43,119,79,66.4,10,5,15,7,23.3,3,3,0,0,0.0,Audax Italiano,2,30.0,43,3,,,,,,,,,,,,,,,,,,,,,,,,Audax Italiano,28,30.0,35,394,116,29.4,13.13,3.87,0.08,0.27,,4,5,Audax Italiano,28,30.0,,,,,,,,,,,,,,,24,,,,,,Audax Italiano,28,30.0,,,,,,,575,,,,,,,,,Audax Italiano,28,30.0,,,,,,,,,,,,,,,,,Audax Italiano,28,30.0,,338,,,,,,,,,,,284,,,,Audax Italiano,28,47.2,30.0,,,,,,,,,,,,,,,,,,,,,Audax Italiano,28,27.0,30,2700,90,100,30.0,330,82,193,129,20,80,1.17,36,43,-7,-0.23,Audax Italiano,28,30.0,86,11,3,332,311,54,575,284,338,,,0
1,Cobresal,26,29.8,46.6,30,330,2700,30.0,54,34,88,48,6,6,81,2,1.8,1.13,2.93,1.6,2.73,Cobresal,2,30,30,2700,30.0,41,1.37,127,87,68.5,15,8,6,8,26.7,1,1,0,0,0.0,Cobresal,2,30.0,41,1,,,,,,,,,,,,,,,,,,,,,,,,Cobresal,26,30.0,54,399,138,34.6,13.3,4.6,0.12,0.35,,6,6,Cobresal,26,30.0,,,,,,,,,,,,,,,34,,,,,,Cobresal,26,30.0,,,,,,,497,,,,,,,,,Cobresal,26,30.0,,,,,,,,,,,,,,,,,Cobresal,26,30.0,,332,,,,,,,,,,,302,,,,Cobresal,26,46.6,30.0,,,,,,,,,,,,,,,,,,,,,Cobresal,26,29.8,30,2700,90,100,30.0,330,82,214,114,22,95,1.87,56,39,17,0.57,Cobresal,26,30.0,81,2,2,275,293,53,497,302,332,,,2
2,Colo-Colo,30,27.0,53.9,30,330,2700,30.0,43,31,74,38,5,5,64,8,1.43,1.03,2.47,1.27,2.3,Colo-Colo,2,30,30,2696,30.0,29,0.97,101,75,73.3,15,9,6,12,40.0,3,2,1,0,33.3,Colo-Colo,2,30.0,29,2,,,,,,,,,,,,,,,,,,,,,,,,Colo-Colo,30,30.0,43,432,129,29.9,14.4,4.3,0.09,0.29,,5,5,Colo-Colo,30,30.0,,,,,,,,,,,,,,,31,,,,,,Colo-Colo,30,30.0,,,,,,,471,,,,,,,,,Colo-Colo,30,30.0,,,,,,,,,,,,,,,,,Colo-Colo,30,30.0,,350,,,,,,,,,,,286,,,,Colo-Colo,30,53.9,30.0,,,,,,,,,,,,,,,,,,,,,Colo-Colo,30,27.0,30,2700,90,100,30.0,330,81,199,124,23,85,1.8,45,29,16,0.53,Colo-Colo,30,30.0,64,8,2,338,295,53,471,286,350,,,0
3,Coquimbo Unido,31,27.9,42.3,30,330,2700,30.0,44,30,74,39,5,5,74,4,1.47,1.0,2.47,1.3,2.3,Coquimbo Unido,2,30,30,2700,30.0,40,1.33,128,92,71.1,14,5,10,4,13.3,5,3,1,1,25.0,Coquimbo Unido,2,30.0,40,3,,,,,,,,,,,,,,,,,,,,,,,,Coquimbo Unido,31,30.0,44,383,146,38.1,12.77,4.87,0.1,0.27,,5,5,Coquimbo Unido,31,30.0,,,,,,,,,,,,,,,30,,,,,,Coquimbo Unido,31,30.0,,,,,,,675,,,,,,,,,Coquimbo Unido,31,30.0,,,,,,,,,,,,,,,,,Coquimbo Unido,31,30.0,,331,,,,,,,,,,,305,,,,Coquimbo Unido,31,42.3,30.0,,,,,,,,,,,,,,,,,,,,,Coquimbo Unido,31,27.9,30,2700,90,100,30.0,330,83,216,111,20,98,1.57,43,42,1,0.03,Coquimbo Unido,31,30.0,74,4,0,308,310,54,675,305,331,,,2
4,Curico Unido,35,28.3,48.4,30,330,2700,30.0,28,17,45,24,4,6,78,6,0.93,0.57,1.5,0.8,1.37,Curico Unido,2,30,30,2700,30.0,57,1.9,162,111,67.9,6,5,19,3,10.0,6,5,1,0,16.7,Curico Unido,2,30.0,57,5,,,,,,,,,,,,,,,,,,,,,,,,Curico Unido,35,30.0,28,359,101,28.1,11.97,3.37,0.07,0.24,,4,6,Curico Unido,35,30.0,,,,,,,,,,,,,,,17,,,,,,Curico Unido,35,30.0,,,,,,,569,,,,,,,,,Curico Unido,35,30.0,,,,,,,,,,,,,,,,,Curico Unido,35,30.0,,327,,,,,,,,,,,281,,,,Curico Unido,35,48.4,30.0,,,,,,,,,,,,,,,,,,,,,Curico Unido,35,28.3,30,2700,90,100,30.0,330,81,191,135,22,74,0.77,30,58,-28,-0.93,Curico Unido,35,30.0,78,6,1,263,297,59,569,281,327,,,1
5,Deportes Copiapó,26,29.3,45.7,30,330,2700,30.0,31,21,52,27,4,5,92,9,1.03,0.7,1.73,0.9,1.6,Deportes Copiapó,2,30,30,2700,30.0,45,1.5,146,105,71.9,8,10,12,6,20.0,5,4,0,1,0.0,Deportes Copiapó,2,30.0,45,4,,,,,,,,,,,,,,,,,,,,,,,,Deportes Copiapó,26,30.0,31,371,129,34.8,12.37,4.3,0.07,0.21,,4,5,Deportes Copiapó,26,30.0,,,,,,,,,,,,,,,21,,,,,,Deportes Copiapó,26,30.0,,,,,,,505,,,,,,,,,Deportes Copiapó,26,30.0,,,,,,,,,,,,,,,,,Deportes Copiapó,26,30.0,,354,,,,,,,,,,,312,,,,Deportes Copiapó,26,45.7,30.0,,,,,,,,,,,,,,,,,,,,,Deportes Copiapó,26,29.3,30,2700,90,100,30.0,330,81,195,127,22,82,1.13,32,45,-13,-0.43,Deportes Copiapó,26,30.0,92,9,5,324,259,55,505,312,354,,,0
6,Deportes Magallanes,29,29.6,53.7,30,330,2700,30.0,34,24,58,32,2,5,75,4,1.13,0.8,1.93,1.07,1.87,Deportes Magallanes,2,30,30,2700,30.0,49,1.63,138,95,68.1,8,5,17,3,10.0,6,5,1,0,16.7,Deportes Magallanes,2,30.0,49,5,,,,,,,,,,,,,,,,,,,,,,,,Deportes Magallanes,29,30.0,34,374,125,33.4,12.47,4.17,0.09,0.26,,2,5,Deportes Magallanes,29,30.0,,,,,,,,,,,,,,,24,,,,,,Deportes Magallanes,29,30.0,,,,,,,546,,,,,,,,,Deportes Magallanes,29,30.0,,,,,,,,,,,,,,,,,Deportes Magallanes,29,30.0,,292,,,,,,,,,,,230,,,,Deportes Magallanes,29,53.7,30.0,,,,,,,,,,,,,,,,,,,,,Deportes Magallanes,29,29.6,30,2700,90,100,30.0,330,79,191,137,25,74,0.97,36,49,-13,-0.43,Deportes Magallanes,29,30.0,75,4,2,313,304,51,546,230,292,,,1
7,Everton,26,29.0,52.5,30,330,2700,30.0,42,30,72,38,4,7,73,3,1.4,1.0,2.4,1.27,2.27,Everton,2,30,30,2700,30.0,39,1.3,135,98,72.6,13,6,11,8,26.7,2,2,0,0,0.0,Everton,2,30.0,39,2,,,,,,,,,,,,,,,,,,,,,,,,Everton,26,30.0,42,439,153,34.9,14.63,5.1,0.09,0.25,,4,7,Everton,26,30.0,,,,,,,,,,,,,,,30,,,,,,Everton,26,30.0,,,,,,,594,,,,,,,,,Everton,26,30.0,,,,,,,,,,,,,,,,,Everton,26,30.0,,368,,,,,,,,,,,293,,,,Everton,26,52.5,30.0,,,,,,,,,,,,,,,,,,,,,Everton,26,29.0,30,2700,90,100,30.0,330,81,214,115,25,96,1.5,42,39,3,0.1,Everton,26,30.0,73,3,1,341,289,35,594,293,368,,,0
8,Huachipato,24,25.7,56.6,30,330,2700,30.0,47,32,79,44,3,3,75,8,1.57,1.07,2.63,1.47,2.53,Huachipato,2,30,30,2698,30.0,30,1.0,118,93,78.0,17,6,7,10,33.3,5,4,1,0,20.0,Huachipato,2,30.0,30,4,,,,,,,,,,,,,,,,,,,,,,,,Huachipato,24,30.0,47,407,132,32.4,13.57,4.4,0.11,0.33,,3,3,Huachipato,24,30.0,,,,,,,,,,,,,,,32,,,,,,Huachipato,24,30.0,,,,,,,641,,,,,,,,,Huachipato,24,30.0,,,,,,,,,,,,,,,,,Huachipato,24,30.0,,333,,,,,,,,,,,344,,,,Huachipato,24,56.6,30.0,,,,,,,,,,,,,,,,,,,,,Huachipato,24,25.7,30,2700,90,100,30.0,330,83,204,122,19,88,1.9,48,30,18,0.6,Huachipato,24,30.0,75,8,5,326,309,31,641,344,333,,,1
9,La Calera,28,26.0,47.1,30,330,2700,30.0,42,27,69,38,4,5,81,4,1.4,0.9,2.3,1.27,2.17,La Calera,2,30,30,2700,30.0,41,1.37,126,93,72.2,10,11,9,6,20.0,8,6,2,0,25.0,La Calera,2,30.0,41,6,,,,,,,,,,,,,,,,,,,,,,,,La Calera,28,30.0,42,382,139,36.4,12.73,4.63,0.1,0.27,,4,5,La Calera,28,30.0,,,,,,,,,,,,,,,27,,,,,,La Calera,28,30.0,,,,,,,466,,,,,,,,,La Calera,28,30.0,,,,,,,,,,,,,,,,,La Calera,28,30.0,,305,,,,,,,,,,,352,,,,La Calera,28,47.1,30.0,,,,,,,,,,,,,,,,,,,,,La Calera,28,26.0,30,2700,90,100,30.0,330,82,197,129,19,80,1.37,42,41,1,0.03,La Calera,28,30.0,81,4,2,323,258,52,466,352,305,,,1
