Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Jonas Abbew,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,3,2,194,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0,0,0,0,0.00,0.00,0,0,0.0,0,0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,3,194,65,6.7,2.2,2,87,1,1,20,11,3.00,8,2,+6,+2.78,+2.11,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0,0,0,2,0,0,0,2,0,0.0,0.0,0
Jonas Abbew,dk DEN,DF,AGF,Danish Superliga,21,2002,7,7,578,6.4,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0,0,0,0,0.00,0.00,0,0,0.0,0,0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,3,194,65,6.7,2.2,2,87,1,1,20,11,3.00,8,2,+6,+2.78,+2.11,dk DEN,DF,Nordsjælland,Danish Superliga,21,2002,2.2,0,0,0,2,0,0,0,2,0,0.0,0.0,0
Malik Abubakari,gh GHA,FW,Viborg,Danish Superliga,23,2000,13,1,343,3.8,2,0,2,2,0,0,1,0,0.52,0.00,0.52,0.52,0.52,gh GHA,FW,Viborg,Danish Superliga,23,2000,3.8,2,19,8,42.1,4.99,2.10,0.11,0.25,0.0,0,0,gh GHA,FW,Viborg,Danish Superliga,23,2000,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,gh GHA,FW,Viborg,Danish Superliga,23,2000,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,FW,Viborg,Danish Superliga,23,2000,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,FW,Viborg,Danish Superliga,23,2000,3.8,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,gh GHA,FW,Viborg,Danish Superliga,23,2000,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,FW,Viborg,Danish Superliga,23,2000,13,343,26,11.9,3.8,1,90,1,12,21,2,1.15,8,8,0,0.00,+0.35,gh GHA,FW,Viborg,Danish Superliga,23,2000,3.8,1,0,0,8,5,3,1,3,1,0.0,0.0,0
Elias Achouri,tn TUN,"FW,MF",FC Copenhagen,Danish Superliga,24,1999,28,25,"2,100",23.3,4,14,18,4,0,0,7,0,0.17,0.60,0.77,0.17,0.77,tn TUN,"FW,MF",FC Copenhagen,Danish Superliga,24,1999,23.3,4,35,19,54.3,1.50,0.81,0.11,0.21,0.0,0,0,tn TUN,"FW,MF",FC Copenhagen,Danish Superliga,24,1999,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,tn TUN,"FW,MF",FC Copenhagen,Danish Superliga,24,1999,23.3,0.0,0.0,0.0,0.0,0.0,0.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tn TUN,"FW,MF",FC Copenhagen,Danish Superliga,24,1999,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tn TUN,"FW,MF",FC Copenhagen,Danish Superliga,24,1999,23.3,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,tn TUN,"FW,MF",FC Copenhagen,Danish Superliga,24,1999,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tn TUN,"FW,MF",FC Copenhagen,Danish Superliga,24,1999,28,"2,100",75,72.9,23.3,25,79,10,3,40,0,1.93,49,29,+20,+0.86,+0.16,tn TUN,"FW,MF",FC Copenhagen,Danish Superliga,24,1999,23.3,7,0,0,21,41,9,76,6,13,0.0,0.0,0
Tonni Adamsen,dk DEN,"FW,MF",Silkeborg,Danish Superliga,28,1994,28,20,"1,881",20.9,5,7,12,5,0,0,2,0,0.24,0.33,0.57,0.24,0.57,dk DEN,"FW,MF",Silkeborg,Danish Superliga,28,1994,20.9,5,60,23,38.3,2.87,1.10,0.08,0.22,0.0,0,0,dk DEN,"FW,MF",Silkeborg,Danish Superliga,28,1994,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,dk DEN,"FW,MF",Silkeborg,Danish Superliga,28,1994,20.9,0.0,0.0,0.0,0.0,0.0,0.0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,"FW,MF",Silkeborg,Danish Superliga,28,1994,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,"FW,MF",Silkeborg,Danish Superliga,28,1994,20.9,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,dk DEN,"FW,MF",Silkeborg,Danish Superliga,28,1994,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,"FW,MF",Silkeborg,Danish Superliga,28,1994,28,"1,881",67,65.3,20.9,20,83,8,8,28,0,0.96,22,39,-17,-0.81,-1.35,dk DEN,"FW,MF",Silkeborg,Danish Superliga,28,1994,20.9,2,0,0,13,30,5,63,3,7,0.0,0.0,0
Aske Adelgaard,dk DEN,DF,Odense,Danish Superliga,19,2003,18,13,"1,007",11.2,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,dk DEN,DF,Odense,Danish Superliga,19,2003,11.2,0,8,1,12.5,0.71,0.09,0.00,0.00,0.0,0,0,dk DEN,DF,Odense,Danish Superliga,19,2003,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Odense,Danish Superliga,19,2003,11.2,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Odense,Danish Superliga,19,2003,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Odense,Danish Superliga,19,2003,11.2,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,dk DEN,DF,Odense,Danish Superliga,19,2003,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,DF,Odense,Danish Superliga,19,2003,18,"1,007",56,35.0,11.2,13,75,4,5,5,4,1.06,14,18,-4,-0.36,-0.02,dk DEN,DF,Odense,Danish Superliga,19,2003,11.2,2,0,0,25,12,0,27,5,19,0.0,0.0,0
Jeffrey Adjei-Broni,dk DEN,FW,Hvidovre IF,Danish Superliga,19,2004,23,7,884,9.8,1,1,2,1,0,0,3,0,0.10,0.10,0.20,0.10,0.20,dk DEN,FW,Hvidovre IF,Danish Superliga,19,2004,9.8,1,8,4,50.0,0.81,0.41,0.13,0.25,0.0,0,0,dk DEN,FW,Hvidovre IF,Danish Superliga,19,2004,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,dk DEN,FW,Hvidovre IF,Danish Superliga,19,2004,9.8,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,FW,Hvidovre IF,Danish Superliga,19,2004,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,FW,Hvidovre IF,Danish Superliga,19,2004,9.8,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,dk DEN,FW,Hvidovre IF,Danish Superliga,19,2004,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dk DEN,FW,Hvidovre IF,Danish Superliga,19,2004,23,884,38,30.7,9.8,7,67,0,16,26,6,0.65,10,24,-14,-1.43,-0.52,dk DEN,FW,Hvidovre IF,Danish Superliga,19,2004,9.8,3,0,0,14,26,4,18,4,6,0.0,0.0,0
Martin Agnarsson,fo FRO,DF,Viborg,Danish Superliga,19,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,fo FRO,DF,Viborg,Danish Superliga,19,2003,0.0,0,0,0,0,0.00,0.00,0,0,0.0,0,0,fo FRO,DF,Viborg,Danish Superliga,19,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,fo FRO,DF,Viborg,Danish Superliga,19,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fo FRO,DF,Viborg,Danish Superliga,19,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fo FRO,DF,Viborg,Danish Superliga,19,2003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,fo FRO,DF,Viborg,Danish Superliga,19,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fo FRO,DF,Viborg,Danish Superliga,19,2003,1,4,4,0.1,0.0,0,0,0,1,4,9,3.00,0,0,0,0.00,+0.31,fo FRO,DF,Viborg,Danish Superliga,19,2003,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
Ernest Agyiri,gh GHA,MF,Randers,Danish Superliga,25,1998,20,7,670,7.4,1,2,3,1,0,0,0,0,0.13,0.27,0.40,0.13,0.40,gh GHA,MF,Randers,Danish Superliga,25,1998,7.4,1,19,4,21.1,2.55,0.54,0.05,0.25,0.0,0,0,gh GHA,MF,Randers,Danish Superliga,25,1998,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,Randers,Danish Superliga,25,1998,7.4,0.0,0.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,Randers,Danish Superliga,25,1998,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,Randers,Danish Superliga,25,1998,7.4,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,gh GHA,MF,Randers,Danish Superliga,25,1998,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gh GHA,MF,Randers,Danish Superliga,25,1998,20,670,34,23.3,7.4,7,62,0,13,18,8,1.10,7,14,-7,-0.94,-0.90,gh GHA,MF,Randers,Danish Superliga,25,1998,7.4,0,0,0,9,15,6,44,5,2,0.0,0.0,0
Michael Akoto,de GER,DF,AGF,Danish Superliga,26,1997,11,5,401,4.5,0,1,1,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,de GER,DF,AGF,Danish Superliga,26,1997,4.5,0,1,0,0.0,0.22,0.00,0.00,0,0.0,0,0,de GER,DF,AGF,Danish Superliga,26,1997,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,de GER,DF,AGF,Danish Superliga,26,1997,4.5,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de GER,DF,AGF,Danish Superliga,26,1997,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de GER,DF,AGF,Danish Superliga,26,1997,4.5,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,de GER,DF,AGF,Danish Superliga,26,1997,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de GER,DF,AGF,Danish Superliga,26,1997,11,401,36,13.9,4.5,5,61,2,6,16,8,1.09,6,12,-6,-1.35,-1.42,de GER,DF,AGF,Danish Superliga,26,1997,4.5,1,0,0,7,6,0,3,6,7,0.0,0.0,0
