Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Lucas Abascia,ar ARG,DF,Ñublense,Primera Division Chile,27,1995,17,12,"1,150",12.8,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,ar ARG,DF,Ñublense,Primera Division Chile,27,1995,12.8,1,15,4,26.7,1.17,0.31,0.07,0.25,0.0,0,0,ar ARG,DF,Ñublense,Primera Division Chile,27,1995,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Ñublense,Primera Division Chile,27,1995,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Ñublense,Primera Division Chile,27,1995,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Ñublense,Primera Division Chile,27,1995,12.8,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,ar ARG,DF,Ñublense,Primera Division Chile,27,1995,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,Ñublense,Primera Division Chile,27,1995,17,"1,150",68,42.6,12.8,12,87,10,5,21,4,1.53,12,16,-4,-0.31,-0.20,ar ARG,DF,Ñublense,Primera Division Chile,27,1995,12.8,3,0,0,11,6,0,0,30,23,0.0,0.0,0
Joe Abrigo,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,7,1,195,2.2,2,0,2,1,1,1,1,0,0.92,0.00,0.92,0.46,0.46,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,2,8,5,62.5,3.69,2.31,0.13,0.20,0.0,1,1,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,7,195,28,7.2,2.2,1,78,0,6,20,0,2.14,5,3,+2,+0.92,+0.96,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,1,0,0,3,8,0,7,1,1,0.0,0.0,0
Joe Abrigo,cl CHI,MF,Palestino,Primera Division Chile,27,1995,14,11,839,9.3,3,2,5,3,0,0,1,0,0.32,0.21,0.54,0.32,0.54,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,2,8,5,62.5,3.69,2.31,0.13,0.20,0.0,1,1,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,7,195,28,7.2,2.2,1,78,0,6,20,0,2.14,5,3,+2,+0.92,+0.96,cl CHI,MF,Coquimbo Unido,Primera Division Chile,27,1995,2.2,1,0,0,3,8,0,7,1,1,0.0,0.0,0
Albert Acevedo,cl CHI,DF,Deportes Magallanes,Primera Division Chile,39,1983,10,6,555,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,cl CHI,DF,Deportes Magallanes,Primera Division Chile,39,1983,6.2,0,4,0,0.0,0.65,0.00,0.00,0,0.0,0,0,cl CHI,DF,Deportes Magallanes,Primera Division Chile,39,1983,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,cl CHI,DF,Deportes Magallanes,Primera Division Chile,39,1983,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,DF,Deportes Magallanes,Primera Division Chile,39,1983,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,DF,Deportes Magallanes,Primera Division Chile,39,1983,6.2,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,cl CHI,DF,Deportes Magallanes,Primera Division Chile,39,1983,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,DF,Deportes Magallanes,Primera Division Chile,39,1983,10,555,56,20.6,6.2,6,80,3,4,19,9,1.30,6,11,-5,-0.81,-0.48,cl CHI,DF,Deportes Magallanes,Primera Division Chile,39,1983,6.2,2,0,0,7,4,0,0,9,10,0.0,0.0,0
Diego Acevedo,cl CHI,MF,Unión Española,Primera Division Chile,21,2001,10,2,204,2.3,1,0,1,1,0,0,1,0,0.44,0.00,0.44,0.44,0.44,cl CHI,MF,Unión Española,Primera Division Chile,21,2001,2.3,1,7,4,57.1,3.09,1.76,0.14,0.25,0.0,0,0,cl CHI,MF,Unión Española,Primera Division Chile,21,2001,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Unión Española,Primera Division Chile,21,2001,2.3,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Unión Española,Primera Division Chile,21,2001,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Unión Española,Primera Division Chile,21,2001,2.3,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,cl CHI,MF,Unión Española,Primera Division Chile,21,2001,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Unión Española,Primera Division Chile,21,2001,10,204,20,7.6,2.3,2,45,0,8,14,2,1.20,3,1,+2,+0.88,+0.81,cl CHI,MF,Unión Española,Primera Division Chile,21,2001,2.3,1,0,0,3,0,0,10,1,5,0.0,0.0,0
Dilan Acevedo,cl CHI,MF,Curico Unido,Primera Division Chile,19,2003,3,1,123,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,cl CHI,MF,Curico Unido,Primera Division Chile,19,2003,1.4,0,0,0,0,0.00,0.00,0,0,0.0,0,0,cl CHI,MF,Curico Unido,Primera Division Chile,19,2003,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Curico Unido,Primera Division Chile,19,2003,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Curico Unido,Primera Division Chile,19,2003,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Curico Unido,Primera Division Chile,19,2003,1.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,cl CHI,MF,Curico Unido,Primera Division Chile,19,2003,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,MF,Curico Unido,Primera Division Chile,19,2003,3,123,41,4.6,1.4,1,87,0,2,18,0,0.33,0,4,-4,-2.93,-2.09,cl CHI,MF,Curico Unido,Primera Division Chile,19,2003,1.4,0,0,0,0,2,1,1,1,0,0.0,0.0,0
Nelson Acevedo,ar ARG,MF,La Calera,Primera Division Chile,34,1988,8,7,541,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,ar ARG,MF,La Calera,Primera Division Chile,34,1988,6.0,0,1,0,0.0,0.17,0.00,0.00,0,0.0,0,0,ar ARG,MF,La Calera,Primera Division Chile,34,1988,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,La Calera,Primera Division Chile,34,1988,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,La Calera,Primera Division Chile,34,1988,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,La Calera,Primera Division Chile,34,1988,6.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,ar ARG,MF,La Calera,Primera Division Chile,34,1988,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,La Calera,Primera Division Chile,34,1988,8,541,68,20.0,6.0,7,73,3,1,29,0,1.13,5,5,0,0.00,-0.04,ar ARG,MF,La Calera,Primera Division Chile,34,1988,6.0,2,0,0,8,6,0,0,14,10,0.0,0.0,0
Mateo Acosta,ar ARG,FW,Huachipato,Primera Division Chile,30,1992,10,4,341,3.8,2,0,2,2,0,0,2,0,0.53,0.00,0.53,0.53,0.53,ar ARG,FW,Huachipato,Primera Division Chile,30,1992,3.8,2,8,4,50.0,2.11,1.06,0.25,0.50,0.0,0,0,ar ARG,FW,Huachipato,Primera Division Chile,30,1992,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Huachipato,Primera Division Chile,30,1992,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Huachipato,Primera Division Chile,30,1992,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Huachipato,Primera Division Chile,30,1992,3.8,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,ar ARG,FW,Huachipato,Primera Division Chile,30,1992,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,FW,Huachipato,Primera Division Chile,30,1992,10,341,34,12.6,3.8,4,73,1,6,9,2,1.90,6,4,+2,+0.53,-0.08,ar ARG,FW,Huachipato,Primera Division Chile,30,1992,3.8,2,0,0,6,2,2,1,2,7,0.0,0.0,0
Nicolás Aedo,cl CHI,DF,La Calera,Primera Division Chile,21,2001,8,0,109,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,cl CHI,DF,La Calera,Primera Division Chile,21,2001,1.2,0,0,0,0,0.00,0.00,0,0,0.0,0,0,cl CHI,DF,La Calera,Primera Division Chile,21,2001,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,cl CHI,DF,La Calera,Primera Division Chile,21,2001,1.2,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,DF,La Calera,Primera Division Chile,21,2001,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,DF,La Calera,Primera Division Chile,21,2001,1.2,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,cl CHI,DF,La Calera,Primera Division Chile,21,2001,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,DF,La Calera,Primera Division Chile,21,2001,8,109,14,4.0,1.2,0,0,0,8,14,6,1.00,4,3,+1,+0.83,+0.83,cl CHI,DF,La Calera,Primera Division Chile,21,2001,1.2,0,0,0,2,0,0,6,0,2,0.0,0.0,0
Tomás Ahumada,cl CHI,GK,Audax Italiano,Primera Division Chile,21,2001,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,cl CHI,GK,Audax Italiano,Primera Division Chile,21,2001,25.0,0,0,0,0,0.00,0.00,0,0,0.0,0,0,cl CHI,GK,Audax Italiano,Primera Division Chile,21,2001,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,cl CHI,GK,Audax Italiano,Primera Division Chile,21,2001,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,GK,Audax Italiano,Primera Division Chile,21,2001,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,GK,Audax Italiano,Primera Division Chile,21,2001,25.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,cl CHI,GK,Audax Italiano,Primera Division Chile,21,2001,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cl CHI,GK,Audax Italiano,Primera Division Chile,21,2001,25,"2,250",90,83.3,25.0,25,90,25,0,0,5,1.32,30,32,-2,-0.08,+0.92,cl CHI,GK,Audax Italiano,Primera Division Chile,21,2001,25.0,2,0,0,0,4,0,0,1,1,0.0,0.0,0
