Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
Keyliane Abdallah,fr FRA,FW,Marseille,Ligue 1,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fr FRA,FW,Marseille,Ligue 1,17,2006,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,fr FRA,FW,Marseille,Ligue 1,17,2006,0.0,1,1,100.0,8,0,1,1,100.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,fr FRA,FW,Marseille,Ligue 1,17,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,fr FRA,FW,Marseille,Ligue 1,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,fr FRA,FW,Marseille,Ligue 1,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fr FRA,FW,Marseille,Ligue 1,17,2006,0.0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,fr FRA,FW,Marseille,Ligue 1,17,2006,1,4,4,0.1,0.0,0,0,0,1,4,1,1.00,1,0,+1,+22.50,+22.21,0.2,0.0,+0.2,+4.03,+3.46,fr FRA,FW,Marseille,Ligue 1,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,35,1987,31,31,"2,781",30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36,137,9,0.13,0.00,0.13,0.10,0.10,0.11,0.01,0.12,0.09,0.09,ma MAR,DF,Reims,Ligue 1,35,1987,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,+0.6,+0.4,ma MAR,DF,Reims,Ligue 1,35,1987,30.9,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0,0.3,0.6,-0.3,8,129,3,0,137,ma MAR,DF,Reims,Ligue 1,35,1987,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20,ma MAR,DF,Reims,Ligue 1,35,1987,30.9,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,ma MAR,DF,Reims,Ligue 1,35,1987,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,ma MAR,DF,Reims,Ligue 1,35,1987,30.9,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9,ma MAR,DF,Reims,Ligue 1,35,1987,31,"2,781",90,90.9,30.9,31,90,30,0,0,0,1.29,37,46,-9,-0.29,-1.58,39.2,43.7,-4.5,-0.14,-0.97,ma MAR,DF,Reims,Ligue 1,35,1987,30.9,5,0,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2
Salis Abdul Samed,gh GHA,MF,Lens,Ligue 1,23,2000,27,17,"1,519",16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,gh GHA,MF,Lens,Ligue 1,23,2000,16.9,0,5,0,0.0,0.30,0.00,0.00,0,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8,gh GHA,MF,Lens,Ligue 1,23,2000,16.9,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,0,0.5,1.1,-0.5,6,87,5,2,78,gh GHA,MF,Lens,Ligue 1,23,2000,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17,gh GHA,MF,Lens,Ligue 1,23,2000,16.9,27,1.60,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,gh GHA,MF,Lens,Ligue 1,23,2000,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,gh GHA,MF,Lens,Ligue 1,23,2000,16.9,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20,gh GHA,MF,Lens,Ligue 1,23,2000,27,"1,519",56,49.6,16.9,17,81,11,10,15,4,1.74,20,18,+2,+0.12,-0.23,24.6,24.2,+0.4,+0.02,-0.39,gh GHA,MF,Lens,Ligue 1,23,2000,16.9,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2
Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,30,1993,33,32,"2,860",31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.2,3.3,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.10,0.04,0.10,fr FRA,MF,Lorient,Ligue 1,30,1993,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,+0.9,+0.9,fr FRA,MF,Lorient,Ligue 1,30,1993,31.8,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1,2.2,1.9,-1.2,30,188,23,3,194,fr FRA,MF,Lorient,Ligue 1,30,1993,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25,fr FRA,MF,Lorient,Ligue 1,30,1993,31.8,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,fr FRA,MF,Lorient,Ligue 1,30,1993,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,fr FRA,MF,Lorient,Ligue 1,30,1993,31.8,2164,105,553,1288,349,10,2164,65,44,67.7,18,27.7,1649,8707,3892,38,49,3,32,30,1502,51,fr FRA,MF,Lorient,Ligue 1,30,1993,33,"2,860",87,93.5,31.8,32,89,29,1,23,0,0.88,41,59,-18,-0.57,+1.68,34.8,50.1,-15.3,-0.48,+0.37,fr FRA,MF,Lorient,Ligue 1,30,1993,31.8,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7
Matthis Abline,fr FRA,FW,Nantes,Ligue 1,20,2003,22,12,"1,044",11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28,20,87,0.43,0.00,0.43,0.43,0.43,0.33,0.17,0.50,0.33,0.50,fr FRA,FW,Nantes,Ligue 1,20,2003,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,+1.2,+1.2,fr FRA,FW,Nantes,Ligue 1,20,2003,11.6,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0,2.0,0.9,-2.0,17,6,7,2,20,fr FRA,FW,Nantes,Ligue 1,20,2003,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11,fr FRA,FW,Nantes,Ligue 1,20,2003,11.6,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,fr FRA,FW,Nantes,Ligue 1,20,2003,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0,fr FRA,FW,Nantes,Ligue 1,20,2003,11.6,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,fr FRA,FW,Rennes,Ligue 1,20,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,fr FRA,FW,Nantes,Ligue 1,20,2003,11.6,1,0,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,Ligue 1,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,2.8,2.0,0.2,2.2,23,20,75,0.36,0.00,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26,ma MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,+0.2,0.0,ma MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,0,0.2,1.1,-0.2,5,10,9,1,20,ma MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,196,185,11,1,0,0,5,9,0,0,0,0,140,0,7,ma MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0,ma MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0,ma MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,305,1,27,123,161,38,304,31,8,25.8,22,71.0,233,1651,745,23,13,8,22,12,229,75,ma MAR,"MF,FW",Toulouse,Ligue 1,23,2000,13,754,58,24.6,8.4,9,74,1,4,21,0,1.54,11,10,+1,+0.12,+0.31,8.1,13.4,-5.3,-0.64,-0.54,ma MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,2,0,0,17,15,8,5,1,8,1,0,0,21,6,7,46.2
Akor Adams,ng NGA,FW,Montpellier,Ligue 1,23,2000,32,27,"2,252",25.0,8,1,9,8,0,0,2,0,12.4,12.4,1.9,14.3,40,17,127,0.32,0.04,0.36,0.32,0.36,0.50,0.07,0.57,0.50,0.57,ng NGA,FW,Montpellier,Ligue 1,23,2000,25.0,8,79,32,40.5,3.16,1.28,0.10,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4,ng NGA,FW,Montpellier,Ligue 1,23,2000,25.0,250,385,64.9,3676,786,125,185,67.6,89,126,70.6,14,29,48.3,1,1.9,1.4,-0.9,17,14,4,2,17,ng NGA,FW,Montpellier,Ligue 1,23,2000,25.0,385,375,10,0,2,1,12,1,0,0,0,0,250,0,20,ng NGA,FW,Montpellier,Ligue 1,23,2000,25.0,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0,ng NGA,FW,Montpellier,Ligue 1,23,2000,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0,ng NGA,FW,Montpellier,Ligue 1,23,2000,25.0,638,17,61,266,323,118,638,44,14,31.8,26,59.1,442,2673,1004,40,23,22,68,30,472,127,ng NGA,FW,Montpellier,Ligue 1,23,2000,32,"2,252",70,73.6,25.0,27,80,10,5,21,1,1.22,29,32,-3,-0.12,+0.10,32.6,35.3,-2.7,-0.11,+0.13,ng NGA,FW,Montpellier,Ligue 1,23,2000,25.0,2,0,0,39,22,26,12,5,4,0,0,0,55,54,69,43.9
Nathaniel Adjei,gh GHA,DF,Lorient,Ligue 1,20,2002,15,14,"1,243",13.8,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,10,34,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,gh GHA,DF,Lorient,Ligue 1,20,2002,13.8,0,4,0,0.0,0.29,0.00,0.00,0,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4,gh GHA,DF,Lorient,Ligue 1,20,2002,13.8,578,669,86.4,10635,4097,216,246,87.8,294,323,91.0,52,73,71.2,0,0.1,0.5,-0.1,3,38,1,0,34,gh GHA,DF,Lorient,Ligue 1,20,2002,13.8,669,628,40,27,0,3,2,11,0,0,0,0,578,1,5,gh GHA,DF,Lorient,Ligue 1,20,2002,13.8,11,0.80,8,0,0,0,1,2,0,0.00,0,0,0,0,0,0,gh GHA,DF,Lorient,Ligue 1,20,2002,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1,gh GHA,DF,Lorient,Ligue 1,20,2002,13.8,811,94,374,397,46,10,811,5,4,80.0,1,20.0,554,3506,1609,10,12,0,12,5,511,4,gh GHA,DF,Lorient,Ligue 1,20,2002,15,"1,243",83,40.6,13.8,14,88,13,1,12,0,0.93,15,27,-12,-0.87,-0.32,15.9,23.5,-7.6,-0.55,-0.08,gh GHA,DF,Lorient,Ligue 1,20,2002,13.8,2,0,0,10,12,2,2,18,9,0,0,0,60,30,22,57.7
Adryelson,br BRA,"DF,FW",Lyon,Ligue 1,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,br BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,br BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,5,5,100.0,75,28,3,3,100.0,2,2,100.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,br BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,br BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,br BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,br BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,9,2,9,0,0,0,9,0,0,0,0,0,5,22,9,0,0,0,0,0,5,0,br BRA,"DF,FW",Lyon,Ligue 1,25,1998,2,6,3,0.2,0.1,0,0,0,2,3,12,1.50,0,0,0,0.00,+0.18,0.0,0.0,0.0,0.00,+0.07,br BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Adson,br BRA,"MF,FW",Nantes,Ligue 1,22,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,br BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,0,5,0,0.0,1.89,0.00,0.00,0,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,br BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,115,130,88.5,1750,378,61,64,95.3,40,46,87.0,8,10,80.0,0,0.1,0.3,-0.1,3,11,4,0,15,br BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,130,128,2,0,0,0,2,2,0,0,0,0,115,0,2,br BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,9,3.40,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,br BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0,br BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,163,0,18,81,68,10,163,8,5,62.5,3,37.5,137,934,451,18,9,4,4,4,127,19,br BRA,"MF,FW",Nantes,Ligue 1,22,2000,8,238,30,7.8,2.6,2,61,0,6,20,0,1.00,2,6,-4,-1.51,-0.84,3.3,5.4,-2.1,-0.79,-0.37,br BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,0,0,0,4,4,0,2,2,6,0,0,0,11,0,2,0.0
