Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,stats_xG,stats_xAG,stats_xG+xAG,stats_npxG,stats_npxG+xAG,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%
Max Aarons,eng ENG,DF,Bournemouth,Premier League,23,2000,20,13,"1,237",13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22,43,26,0.00,0.07,0.07,0.00,0.07,0.00,0.06,0.06,0.00,0.06,eng ENG,DF,Bournemouth,Premier League,23,2000,13.7,0,2,0,0.0,0.15,0.00,0.00,0,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,eng ENG,DF,Bournemouth,Premier League,23,2000,13.7,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,+0.2,7,25,13,2,43,eng ENG,DF,Bournemouth,Premier League,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,eng ENG,DF,Bournemouth,Premier League,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,eng ENG,DF,Bournemouth,Premier League,23,2000,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,eng ENG,DF,Bournemouth,Premier League,23,2000,13.7,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,eng ENG,DF,Bournemouth,Premier League,23,2000,20,"1,237",62,36.2,13.7,13,85,9,7,19,5,0.80,12,34,-22,-1.60,-1.97,14.2,27.1,-12.8,-0.94,-1.37,eng ENG,DF,Bournemouth,Premier League,23,2000,13.7,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3
Joshua Acheampong,eng ENG,DF,Chelsea,Premier League,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,eng ENG,DF,Chelsea,Premier League,17,2006,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,eng ENG,DF,Chelsea,Premier League,17,2006,0.1,1,2,50.0,18,7,0,0,0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,eng ENG,DF,Chelsea,Premier League,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,eng ENG,DF,Chelsea,Premier League,17,2006,0.1,1,15.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,eng ENG,DF,Chelsea,Premier League,17,2006,0.1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,eng ENG,DF,Chelsea,Premier League,17,2006,0.1,6,5,5,0,1,0,6,0,0,0,0,0,1,18,12,0,0,0,0,0,0,0,eng ENG,DF,Chelsea,Premier League,17,2006,1,6,6,0.2,0.1,0,0,0,1,6,3,3.00,0,0,0,0.00,-0.37,0.0,0.6,-0.5,-7.70,-8.15,eng ENG,DF,Chelsea,Premier League,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Tyler Adams,us USA,MF,Bournemouth,Premier League,24,1999,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,us USA,MF,Bournemouth,Premier League,24,1999,1.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,us USA,MF,Bournemouth,Premier League,24,1999,1.3,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,us USA,MF,Bournemouth,Premier League,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,us USA,MF,Bournemouth,Premier League,24,1999,1.3,3,2.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,us USA,MF,Bournemouth,Premier League,24,1999,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0,us USA,MF,Bournemouth,Premier League,24,1999,1.3,91,3,23,54,14,4,91,3,2,66.7,0,0.0,44,193,116,4,1,2,3,0,52,1,us USA,MF,Bournemouth,Premier League,24,1999,3,121,40,3.5,1.3,1,90,1,2,16,2,2.00,4,3,+1,+0.74,+1.13,2.1,1.5,+0.6,+0.43,+0.51,us USA,MF,Bournemouth,Premier League,24,1999,1.3,0,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40.0
Tosin Adarabioyo,eng ENG,DF,Fulham,Premier League,25,1997,20,18,"1,617",18.0,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,eng ENG,DF,Fulham,Premier League,25,1997,18.0,2,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3,eng ENG,DF,Fulham,Premier League,25,1997,18.0,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,eng ENG,DF,Fulham,Premier League,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,eng ENG,DF,Fulham,Premier League,25,1997,18.0,10,0.56,6,0,0,4,0,0,0,0.00,0,0,0,0,0,0,eng ENG,DF,Fulham,Premier League,25,1997,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0,eng ENG,DF,Fulham,Premier League,25,1997,18.0,1390,181,713,631,48,29,1390,3,1,33.3,0,0.0,817,4560,2661,10,12,1,4,4,1009,5,eng ENG,DF,Fulham,Premier League,25,1997,20,"1,617",81,47.3,18.0,18,90,17,2,2,2,1.40,28,25,+3,+0.17,+0.62,27.6,28.0,-0.5,-0.03,+0.56,eng ENG,DF,Fulham,Premier League,25,1997,18.0,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7
Elijah Adebayo,eng ENG,FW,Luton Town,Premier League,25,1998,27,16,"1,419",15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,16,23,110,0.63,0.00,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42,eng ENG,FW,Luton Town,Premier League,25,1998,15.8,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,+4.1,+4.1,eng ENG,FW,Luton Town,Premier League,25,1998,15.8,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,eng ENG,FW,Luton Town,Premier League,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5,eng ENG,FW,Luton Town,Premier League,25,1998,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,eng ENG,FW,Luton Town,Premier League,25,1998,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,eng ENG,FW,Luton Town,Premier League,25,1998,15.8,462,27,52,172,243,82,462,67,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110,eng ENG,FW,Luton Town,Premier League,25,1998,27,"1,419",53,41.5,15.8,16,77,5,11,16,0,0.78,30,36,-6,-0.38,+0.83,22.2,28.4,-6.3,-0.40,+0.92,eng ENG,FW,Luton Town,Premier League,25,1998,15.8,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50.0
Simon Adingra,ci CIV,FW,Brighton,Premier League,21,2002,31,25,"2,222",24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8.0,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,ci CIV,FW,Brighton,Premier League,21,2002,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,+1.7,+1.7,ci CIV,FW,Brighton,Premier League,21,2002,24.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,ci CIV,FW,Brighton,Premier League,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29,ci CIV,FW,Brighton,Premier League,21,2002,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,ci CIV,FW,Brighton,Premier League,21,2002,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0,ci CIV,FW,Brighton,Premier League,21,2002,24.7,1159,36,187,364,627,153,1159,123,50,40.7,64,52.0,773,5063,2996,111,48,63,48,28,795,278,ci CIV,FW,Brighton,Premier League,21,2002,31,"2,222",72,65.0,24.7,25,83,10,6,26,1,1.19,34,38,-4,-0.16,+0.06,33.9,35.9,-2.0,-0.08,-0.34,ci CIV,FW,Brighton,Premier League,21,2002,24.7,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0
Nayef Aguerd,ma MAR,DF,West Ham,Premier League,27,1996,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0.00,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,ma MAR,DF,West Ham,Premier League,27,1996,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,ma MAR,DF,West Ham,Premier League,27,1996,20.6,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,ma MAR,DF,West Ham,Premier League,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,ma MAR,DF,West Ham,Premier League,27,1996,20.6,14,0.68,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0,ma MAR,DF,West Ham,Premier League,27,1996,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2,ma MAR,DF,West Ham,Premier League,27,1996,20.6,1373,187,709,618,50,21,1373,5,3,60.0,2,40.0,861,4211,2388,10,8,0,10,2,912,3,ma MAR,DF,West Ham,Premier League,27,1996,21,"1,857",88,54.3,20.6,21,88,19,0,0,4,1.19,26,44,-18,-0.87,-1.10,25.0,38.2,-13.2,-0.64,-0.32,ma MAR,DF,West Ham,Premier League,27,1996,20.6,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0
Brandon Aguilera,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,4,8,50.0,48,23,3,6,50.0,1,2,50.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,11,1,3,4,4,0,11,0,0,0,0,0,4,16,12,0,1,0,0,0,6,1,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,1,5,5,0.1,0.1,0,0,0,1,5,3,0.00,0,0,0,0.00,+0.47,0.0,0.0,0.0,0.00,+0.09,cr CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,Premier League,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0.0,0.5,19,25,20,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13,fr FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,0,9,2,22.2,2.32,0.52,0.00,0.00,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,fr FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,fr FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8,fr FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,9,2.30,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,fr FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0,fr FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,240,6,46,123,75,8,240,13,7,53.8,5,38.5,150,1018,486,19,8,4,8,11,169,20,fr FRA,"MF,FW",Crystal Palace,Premier League,21,2002,20,349,17,10.2,3.9,0,0,0,20,17,14,0.85,13,14,-1,-0.26,-0.26,10.0,8.6,+1.4,+0.35,+0.49,fr FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,4,1,1,9,6,1,6,2,9,0,0,0,30,3,3,50.0
Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,Premier League,24,1999,31,29,"2,649",29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4.0,15,43,21,0.07,0.00,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14,ba BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,2,19,5,26.3,0.65,0.17,0.11,0.40,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,ba BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,745,988,75.4,12681,5037,334,384,87.0,345,422,81.8,53,137,38.7,0,0.8,0.6,-0.8,7,41,3,1,43,ba BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,988,950,36,11,1,2,6,25,0,0,0,0,745,2,20,ba BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0,ba BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,64,36,48,14,2,30,49,61.2,19,43,26,17,35,99,137,2,ba BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,1331,228,730,508,104,33,1331,21,11,52.4,9,42.9,603,3497,1946,15,15,3,14,11,693,21,ba BIH,DF,Sheffield Utd,Premier League,24,1999,31,"2,649",85,77.5,29.4,29,89,27,2,34,0,0.35,28,89,-61,-2.07,-1.14,31.9,61.5,-29.6,-1.01,+0.01,ba BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,11,1,1,34,13,2,6,35,36,0,0,0,107,51,37,58.0
