Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Matías Abisab,uy URU,MF,UTC,Primera Division Peru,29,1993,32,25,"2,260",25.1,1,4,5,1,0,1,6,0,0.04,0.16,0.20,0.04,0.20,uy URU,MF,UTC,Primera Division Peru,29,1993,25.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,uy URU,MF,UTC,Primera Division Peru,29,1993,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,uy URU,MF,UTC,Primera Division Peru,29,1993,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,UTC,Primera Division Peru,29,1993,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,UTC,Primera Division Peru,29,1993,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,UTC,Primera Division Peru,29,1993,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,MF,UTC,Primera Division Peru,29,1993,32,"2,260",71,71.7,25.1,25,84,15,7,23,3,1.06,23,36,-13,-0.52,-1.23,uy URU,MF,UTC,Primera Division Peru,29,1993,25.1,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Baruj Aburto,pe PER,"FW,DF",Sport Boys,Primera Division Peru,20,2002,7,3,248,2.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,pe PER,"FW,DF",Sport Boys,Primera Division Peru,20,2002,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,"FW,DF",Sport Boys,Primera Division Peru,20,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,"FW,DF",Sport Boys,Primera Division Peru,20,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,"FW,DF",Sport Boys,Primera Division Peru,20,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,"FW,DF",Sport Boys,Primera Division Peru,20,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,"FW,DF",Sport Boys,Primera Division Peru,20,2002,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,"FW,DF",Sport Boys,Primera Division Peru,20,2002,7,248,35,7.7,2.8,3,50,0,4,24,1,0.57,1,5,-4,-1.45,-1.18,pe PER,"FW,DF",Sport Boys,Primera Division Peru,20,2002,2.8,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Michel Acosta,uy URU,DF,Cantolao,Primera Division Peru,34,1988,20,15,"1,338",14.9,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,uy URU,DF,Cantolao,Primera Division Peru,34,1988,14.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,uy URU,DF,Cantolao,Primera Division Peru,34,1988,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Cantolao,Primera Division Peru,34,1988,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Cantolao,Primera Division Peru,34,1988,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Cantolao,Primera Division Peru,34,1988,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Cantolao,Primera Division Peru,34,1988,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uy URU,DF,Cantolao,Primera Division Peru,34,1988,20,"1,338",67,41.3,14.9,15,78,8,5,33,5,0.65,8,28,-20,-1.35,-1.01,uy URU,DF,Cantolao,Primera Division Peru,34,1988,14.9,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Néstor Adrián Fernández,py PAR,FW,Alianza Atlético,Primera Division Peru,30,1992,34,34,"2,978",33.1,16,6,22,13,3,3,8,0,0.48,0.18,0.66,0.39,0.57,py PAR,FW,Alianza Atlético,Primera Division Peru,30,1992,33.1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,py PAR,FW,Alianza Atlético,Primera Division Peru,30,1992,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,30,1992,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,30,1992,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,30,1992,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,30,1992,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,py PAR,FW,Alianza Atlético,Primera Division Peru,30,1992,34,"2,978",88,91.9,33.1,34,88,25,0,0,0,1.06,42,52,-10,-0.30,-3.39,py PAR,FW,Alianza Atlético,Primera Division Peru,30,1992,33.1,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jorge Agüero,pe PER,MF,Asociación Deportiva Tarma,Primera Division Peru,21,2001,13,4,393,4.4,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,pe PER,MF,Asociación Deportiva Tarma,Primera Division Peru,21,2001,4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,MF,Asociación Deportiva Tarma,Primera Division Peru,21,2001,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Asociación Deportiva Tarma,Primera Division Peru,21,2001,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Asociación Deportiva Tarma,Primera Division Peru,21,2001,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Asociación Deportiva Tarma,Primera Division Peru,21,2001,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Asociación Deportiva Tarma,Primera Division Peru,21,2001,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Asociación Deportiva Tarma,Primera Division Peru,21,2001,13,393,30,12.1,4.4,4,61,0,9,17,12,1.69,9,8,+1,+0.23,+0.26,pe PER,MF,Asociación Deportiva Tarma,Primera Division Peru,21,2001,4.4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rotceh Aguilar,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,15,15,"1,122",12.5,1,0,1,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,15,"1,122",75,37.8,12.5,15,75,8,0,0,0,1.33,13,13,0,0.00,+0.10,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rotceh Aguilar,pe PER,"MF,DF",Alianza Atlético,Primera Division Peru,21,2001,7,2,256,2.8,0,1,1,0,0,0,2,0,0.00,0.35,0.35,0.00,0.35,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,15,"1,122",75,37.8,12.5,15,75,8,0,0,0,1.33,13,13,0,0.00,+0.10,pe PER,DF,Dep Municipal,Primera Division Peru,21,2001,12.5,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Carlos Aguinaga,pe PER,MF,Melgar,Primera Division Peru,20,2002,17,1,317,3.5,0,3,3,0,0,0,0,0,0.00,0.85,0.85,0.00,0.85,pe PER,MF,Melgar,Primera Division Peru,20,2002,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,MF,Melgar,Primera Division Peru,20,2002,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,20,2002,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,20,2002,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,20,2002,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,20,2002,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Melgar,Primera Division Peru,20,2002,17,317,19,10.1,3.5,1,66,0,16,16,4,2.12,10,4,+6,+1.70,+1.83,pe PER,MF,Melgar,Primera Division Peru,20,2002,3.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gonzalo Aguirre,pe PER,MF,Sporting Cristal,Primera Division Peru,19,2003,4,1,133,1.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,pe PER,MF,Sporting Cristal,Primera Division Peru,19,2003,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,MF,Sporting Cristal,Primera Division Peru,19,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Sporting Cristal,Primera Division Peru,19,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Sporting Cristal,Primera Division Peru,19,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Sporting Cristal,Primera Division Peru,19,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Sporting Cristal,Primera Division Peru,19,2003,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,MF,Sporting Cristal,Primera Division Peru,19,2003,4,133,33,4.2,1.5,1,73,0,3,20,5,2.00,4,1,+3,+2.03,+1.67,pe PER,MF,Sporting Cristal,Primera Division Peru,19,2003,1.5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jeremy Aguirre,pe PER,GK,Alianza Atlético,Primera Division Peru,24,1999,1,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,pe PER,GK,Alianza Atlético,Primera Division Peru,24,1999,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,pe PER,GK,Alianza Atlético,Primera Division Peru,24,1999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,pe PER,GK,Alianza Atlético,Primera Division Peru,24,1999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,GK,Alianza Atlético,Primera Division Peru,24,1999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,GK,Alianza Atlético,Primera Division Peru,24,1999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,GK,Alianza Atlético,Primera Division Peru,24,1999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pe PER,GK,Alianza Atlético,Primera Division Peru,24,1999,1,61,61,1.9,0.7,0,0,0,1,61,6,1.00,1,1,0,0.00,+0.03,pe PER,GK,Alianza Atlético,Primera Division Peru,24,1999,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
