Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Cmp,passing_Att,passing_Cmp%,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Malek Al Abadalmanam,sa KSA,MF,Al-Fayha,Saudi League,25,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,sa KSA,MF,Al-Fayha,Saudi League,25,1998,0.1,0,0,0,0,0.00,0.00,0,0,0.0,0,0,sa KSA,MF,Al-Fayha,Saudi League,25,1998,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Al-Fayha,Saudi League,25,1998,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Al-Fayha,Saudi League,25,1998,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Al-Fayha,Saudi League,25,1998,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sa KSA,MF,Al-Fayha,Saudi League,25,1998,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Al-Fayha,Saudi League,25,1998,1,6,6,0.2,0.1,0,0,0,1,6,1,1.00,0,0,0,0.00,+0.24,sa KSA,MF,Al-Fayha,Saudi League,25,1998,0.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0
Saleh Al Abbas,sa KSA,"FW,MF",Al-Riyadh SC,Saudi League,29,1993,27,18,"1,578",17.5,8,3,11,8,0,1,2,0,0.46,0.17,0.63,0.46,0.63,sa KSA,"FW,MF",Al-Riyadh SC,Saudi League,29,1993,17.5,8,31,17,54.8,1.77,0.97,0.26,0.47,0.0,0,1,sa KSA,"FW,MF",Al-Riyadh SC,Saudi League,29,1993,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,sa KSA,"FW,MF",Al-Riyadh SC,Saudi League,29,1993,17.5,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,"FW,MF",Al-Riyadh SC,Saudi League,29,1993,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,"FW,MF",Al-Riyadh SC,Saudi League,29,1993,17.5,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,sa KSA,"FW,MF",Al-Riyadh SC,Saudi League,29,1993,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,"FW,MF",Al-Riyadh SC,Saudi League,29,1993,27,"1,578",58,51.6,17.5,18,73,5,9,29,1,1.04,18,28,-10,-0.57,+0.28,sa KSA,"FW,MF",Al-Riyadh SC,Saudi League,29,1993,17.5,2,0,0,29,27,20,4,3,15,0.0,0.0,0
Hamad Al Abdan,sa KSA,MF,Al-Khaleej,Saudi League,23,2000,7,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,sa KSA,MF,Al-Khaleej,Saudi League,23,2000,1.2,0,0,0,0,0.00,0.00,0,0,0.0,0,0,sa KSA,MF,Al-Khaleej,Saudi League,23,2000,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Al-Khaleej,Saudi League,23,2000,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Al-Khaleej,Saudi League,23,2000,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Al-Khaleej,Saudi League,23,2000,1.2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,sa KSA,MF,Al-Khaleej,Saudi League,23,2000,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Al-Khaleej,Saudi League,23,2000,7,110,16,3.6,1.2,1,45,0,6,11,14,0.43,1,3,-2,-1.64,-1.36,sa KSA,MF,Al-Khaleej,Saudi League,23,2000,1.2,0,0,0,1,5,0,1,1,1,0.0,0.0,0
Ahmed Abdu,sa KSA,FW,Al-Shabab,Saudi League,26,1996,2,0,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,1,4,1,25.0,4.00,1.00,0.25,1.00,0.0,0,0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,2,90,45,2.9,1.0,0,0,0,2,45,0,0.50,2,1,+1,+1.00,+0.94,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0
Ahmed Abdu,sa KSA,FW,Abha,Saudi League,26,1996,24,10,959,10.7,3,2,5,3,0,0,2,0,0.28,0.19,0.47,0.28,0.47,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,1,4,1,25.0,4.00,1.00,0.25,1.00,0.0,0,0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,FW,Al-Shabab,Saudi League,26,1996,2,90,45,2.9,1.0,0,0,0,2,45,0,0.50,2,1,+1,+1.00,+0.94,sa KSA,FW,Al-Shabab,Saudi League,26,1996,1.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0
Saud Abdulhamid,sa KSA,DF,Al-Hilal,Saudi League,24,1999,32,29,"2,573",28.6,3,4,7,3,0,0,5,0,0.10,0.14,0.24,0.10,0.24,sa KSA,DF,Al-Hilal,Saudi League,24,1999,28.6,3,19,8,42.1,0.66,0.28,0.16,0.38,0.0,0,0,sa KSA,DF,Al-Hilal,Saudi League,24,1999,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,sa KSA,DF,Al-Hilal,Saudi League,24,1999,28.6,0.0,0.0,0.0,0.0,0.0,0.0,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,DF,Al-Hilal,Saudi League,24,1999,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,DF,Al-Hilal,Saudi League,24,1999,28.6,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,sa KSA,DF,Al-Hilal,Saudi League,24,1999,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,DF,Al-Hilal,Saudi League,24,1999,32,"2,573",80,84.1,28.6,29,86,19,3,27,1,2.81,83,17,+66,+2.31,+0.09,sa KSA,DF,Al-Hilal,Saudi League,24,1999,28.6,5,0,0,53,37,2,125,20,38,0.0,0.0,0
Waleed Abdullah,sa KSA,GK,Al-Nassr,Saudi League,37,1986,4,3,335,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,sa KSA,GK,Al-Nassr,Saudi League,37,1986,3.7,0,0,0,0,0.00,0.00,0,0,0.0,0,0,sa KSA,GK,Al-Nassr,Saudi League,37,1986,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,sa KSA,GK,Al-Nassr,Saudi League,37,1986,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,GK,Al-Nassr,Saudi League,37,1986,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,GK,Al-Nassr,Saudi League,37,1986,3.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sa KSA,GK,Al-Nassr,Saudi League,37,1986,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,GK,Al-Nassr,Saudi League,37,1986,4,335,84,10.9,3.7,3,90,3,1,65,12,1.75,8,9,-1,-0.27,-2.22,sa KSA,GK,Al-Nassr,Saudi League,37,1986,3.7,0,0,0,0,2,0,0,0,0,0.0,0.0,0
Mohamed Abdulrahman,sa KSA,"DF,MF",Al-Ettifaq,Saudi League,20,2003,26,17,"1,369",15.2,0,1,1,0,0,0,5,1,0.00,0.07,0.07,0.00,0.07,sa KSA,"DF,MF",Al-Ettifaq,Saudi League,20,2003,15.2,0,1,1,100.0,0.07,0.07,0.00,0.00,0.0,0,0,sa KSA,"DF,MF",Al-Ettifaq,Saudi League,20,2003,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Ettifaq,Saudi League,20,2003,15.2,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Ettifaq,Saudi League,20,2003,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Ettifaq,Saudi League,20,2003,15.2,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Ettifaq,Saudi League,20,2003,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Ettifaq,Saudi League,20,2003,26,"1,369",53,44.7,15.2,17,72,7,9,16,6,1.54,22,15,+7,+0.46,+0.35,sa KSA,"DF,MF",Al-Ettifaq,Saudi League,20,2003,15.2,5,1,0,25,20,0,52,25,29,0.0,0.0,0
Fahad Al Abdulraziq,sa KSA,"DF,MF",Al-Taawoun,Saudi League,0,0,19,7,870,9.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,sa KSA,"DF,MF",Al-Taawoun,Saudi League,0,0,9.7,0,3,0,0.0,0.31,0.00,0.00,0,0.0,0,0,sa KSA,"DF,MF",Al-Taawoun,Saudi League,0,0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Taawoun,Saudi League,0,0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Taawoun,Saudi League,0,0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Taawoun,Saudi League,0,0,9.7,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Taawoun,Saudi League,0,0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,"DF,MF",Al-Taawoun,Saudi League,0,0,19,870,46,28.4,9.7,7,80,4,12,26,12,1.68,17,14,+3,+0.31,-0.22,sa KSA,"DF,MF",Al-Taawoun,Saudi League,0,0,9.7,5,0,0,17,6,0,32,9,22,0.0,0.0,0
Hassan Abo Shararah,sa KSA,MF,Damac,Saudi League,26,1997,3,2,125,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,sa KSA,MF,Damac,Saudi League,26,1997,1.4,0,3,1,33.3,2.16,0.72,0.00,0.00,0.0,0,0,sa KSA,MF,Damac,Saudi League,26,1997,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Damac,Saudi League,26,1997,1.4,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Damac,Saudi League,26,1997,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Damac,Saudi League,26,1997,1.4,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,sa KSA,MF,Damac,Saudi League,26,1997,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa KSA,MF,Damac,Saudi League,26,1997,3,125,42,4.1,1.4,2,54,0,1,17,1,0.33,0,2,-2,-1.44,-1.47,sa KSA,MF,Damac,Saudi League,26,1997,1.4,1,0,0,2,5,0,3,1,4,0.0,0.0,0
